"Date","Time","Round","Venue","Home.Team","Away.Team","Home.Points","Away.Points"
2018-03-22,"19:25","Round 1"," MCG","Richmond","Carlton",121,95
2018-03-23,"19:50","Round 1"," Marvel Stadium","Essendon","Adelaide",99,87
2018-03-24,"15:35","Round 1"," Marvel Stadium","St Kilda","Brisbane",107,82
2018-03-24,"16:05","Round 1"," Adelaide Oval","Port Adelaide","Fremantle",110,60
2018-03-24,"18:25","Round 1"," Cazaly's Stadium","Gold Coast","North Melbourne",55,39
2018-03-24,"19:25","Round 1"," MCG","Hawthorn","Collingwood",101,67
2018-03-25,"13:10","Round 1"," Manuka Oval","GWS","Western Bulldogs",133,51
2018-03-25,"15:20","Round 1"," MCG","Melbourne","Geelong",94,97
2018-03-25,"16:20","Round 1"," Optus Stadium","West Coast","Sydney",86,115
2018-03-29,"19:20","Round 2"," Adelaide Oval","Adelaide","Richmond",118,82
2018-03-30,"16:20","Round 2"," Marvel Stadium","North Melbourne","St Kilda",95,43
2018-03-31,"13:45","Round 2"," Marvel Stadium","Carlton","Gold Coast",67,101
2018-03-31,"16:35","Round 2"," MCG","Collingwood","GWS",79,95
2018-03-31,"17:10","Round 2"," Optus Stadium","Fremantle","Essendon",106,90
2018-03-31,"18:25","Round 2"," Gabba","Brisbane","Melbourne",74,100
2018-04-01,"15:20","Round 2"," Marvel Stadium","Western Bulldogs","West Coast",70,121
2018-04-01,"16:40","Round 2"," SCG","Sydney","Port Adelaide",71,94
2018-04-02,"15:20","Round 2"," MCG","Geelong","Hawthorn",117,118
2018-04-06,"19:50","Round 3"," MCG","Carlton","Collingwood",76,100
2018-04-07,"13:15","Round 3"," Adelaide Oval","Port Adelaide","Brisbane",97,92
2018-04-07,"14:10","Round 3"," MCG","Melbourne","North Melbourne",123,86
2018-04-07,"14:35","Round 3"," Optus Stadium","Gold Coast","Fremantle",68,96
2018-04-07,"19:25","Round 3"," SCG","Sydney","GWS",103,87
2018-04-07,"19:25","Round 3"," Marvel Stadium","St Kilda","Adelaide",55,104
2018-04-08,"13:10","Round 3"," MCG","Richmond","Hawthorn",102,89
2018-04-08,"14:40","Round 3"," Optus Stadium","West Coast","Geelong",95,80
2018-04-08,"15:20","Round 3"," Marvel Stadium","Western Bulldogs","Essendon",104,83
2018-04-13,"19:20","Round 4"," Adelaide Oval","Adelaide","Collingwood",58,106
2018-04-14,"13:45","Round 4"," Manuka Oval","GWS","Fremantle",82,51
2018-04-14,"14:10","Round 4"," MCG","Richmond","Brisbane",110,17
2018-04-14,"16:35","Round 4"," Marvel Stadium","Western Bulldogs","Sydney",79,86
2018-04-14,"18:10","Round 4"," Optus Stadium","West Coast","Gold Coast",139,59
2018-04-14,"19:25","Round 4"," Ninja Stadium","North Melbourne","Carlton",116,30
2018-04-15,"13:10","Round 4"," Marvel Stadium","Essendon","Port Adelaide",106,84
2018-04-15,"15:20","Round 4"," MCG","Hawthorn","Melbourne",115,48
2018-04-15,"16:40","Round 4"," GMHBA Stadium","Geelong","St Kilda",103,56
2018-04-20,"19:50","Round 5"," SCG","Sydney","Adelaide",75,85
2018-04-21,"13:45","Round 5"," Marvel Stadium","St Kilda","GWS",73,73
2018-04-21,"16:35","Round 5"," MCG","Carlton","West Coast",69,79
2018-04-21,"18:15","Round 5"," Optus Stadium","Fremantle","Western Bulldogs",108,54
2018-04-21,"19:10","Round 5"," Adelaide Oval","Port Adelaide","Geelong",50,84
2018-04-22,"15:20","Round 5"," Marvel Stadium","North Melbourne","Hawthorn",98,70
2018-04-22,"16:45","Round 5"," Gabba","Brisbane","Gold Coast",71,76
2018-04-24,"19:25","Round 5"," MCG","Melbourne","Richmond",56,102
2018-04-25,"15:20","Round 5"," MCG","Collingwood","Essendon",101,52
2018-04-27,"19:50","Round 6"," Marvel Stadium","Western Bulldogs","Carlton",80,59
2018-04-28,"13:45","Round 6"," GMHBA Stadium","Geelong","Sydney",69,86
2018-04-28,"14:10","Round 6"," Marvel Stadium","North Melbourne","Port Adelaide",69,102
2018-04-28,"16:35","Round 6"," ENGIE Stadium","GWS","Brisbane",77,43
2018-04-28,"19:10","Round 6"," Adelaide Oval","Adelaide","Gold Coast",110,62
2018-04-28,"19:25","Round 6"," UTAS Stadium","Hawthorn","St Kilda",89,54
2018-04-29,"13:10","Round 6"," Marvel Stadium","Essendon","Melbourne",72,108
2018-04-29,"14:40","Round 6"," Optus Stadium","Fremantle","West Coast",81,89
2018-04-29,"15:20","Round 6"," MCG","Collingwood","Richmond",70,113
2018-05-04,"19:50","Round 7"," GMHBA Stadium","Geelong","GWS",93,32
2018-05-05,"13:45","Round 7"," Mars Stadium","Western Bulldogs","Gold Coast",81,72
2018-05-05,"14:10","Round 7"," MCG","Essendon","Hawthorn",67,90
2018-05-05,"14:35","Round 7"," Optus Stadium","West Coast","Port Adelaide",102,60
2018-05-05,"19:10","Round 7"," Adelaide Oval","Adelaide","Carlton",125,70
2018-05-05,"19:25","Round 7"," SCG","Sydney","North Melbourne",66,68
2018-05-06,"13:10","Round 7"," MCG","Richmond","Fremantle",110,33
2018-05-06,"15:20","Round 7"," Marvel Stadium","St Kilda","Melbourne",67,106
2018-05-06,"16:40","Round 7"," Gabba","Brisbane","Collingwood",114,121
2018-05-11,"19:50","Round 8"," MCG","Hawthorn","Sydney",71,79
