"Date","Time","Round","Venue","Home.Team","Away.Team","Home.Points","Away.Points"
2016-03-24,"19:20","Round 1"," MCG","Richmond","Carlton",92,83
2016-03-26,"13:40","Round 1"," MCG","Melbourne","GWS",80,78
2016-03-26,"15:35","Round 1"," People First Stadium","Gold Coast","Essendon",121,60
2016-03-26,"19:25","Round 1"," Accor Stadium","Sydney","Collingwood",133,53
2016-03-26,"19:25","Round 1"," Marvel Stadium","North Melbourne","Adelaide",107,97
2016-03-27,"13:10","Round 1"," Marvel Stadium","Western Bulldogs","Fremantle",103,38
2016-03-27,"14:50","Round 1"," Adelaide Oval","Port Adelaide","St Kilda",133,100
2016-03-27,"16:40","Round 1"," Domain Stadium","West Coast","Brisbane",166,102
2016-03-28,"15:20","Round 1"," MCG","Geelong","Hawthorn",116,86
2016-04-01,"19:50","Round 2"," MCG","Collingwood","Richmond",87,86
2016-04-02,"13:15","Round 2"," Adelaide Oval","Adelaide","Port Adelaide",144,86
2016-04-02,"14:10","Round 2"," MCG","Essendon","Melbourne",80,67
2016-04-02,"15:35","Round 2"," Gabba","Brisbane","North Melbourne",83,117
2016-04-02,"16:40","Round 2"," Domain Stadium","Fremantle","Gold Coast",100,126
2016-04-02,"19:25","Round 2"," Marvel Stadium","St Kilda","Western Bulldogs",36,93
2016-04-03,"13:10","Round 2"," Manuka Oval","GWS","Geelong",89,76
2016-04-03,"15:20","Round 2"," MCG","Hawthorn","West Coast",99,53
2016-04-03,"16:40","Round 2"," Marvel Stadium","Carlton","Sydney",71,131
2016-04-08,"19:20","Round 3"," Adelaide Oval","Port Adelaide","Essendon",112,51
2016-04-09,"13:45","Round 3"," MCG","St Kilda","Collingwood",119,90
2016-04-09,"14:10","Round 3"," Marvel Stadium","Richmond","Adelaide",92,128
2016-04-09,"16:35","Round 3"," SCG","Sydney","GWS",93,68
2016-04-09,"17:40","Round 3"," Domain Stadium","West Coast","Fremantle",92,59
2016-04-09,"19:25","Round 3"," People First Stadium","Gold Coast","Carlton",95,41
2016-04-10,"13:10","Round 3"," Ninja Stadium","North Melbourne","Melbourne",136,131
2016-04-10,"15:20","Round 3"," Marvel Stadium","Western Bulldogs","Hawthorn",90,93
2016-04-10,"16:40","Round 3"," GMHBA Stadium","Geelong","Brisbane",125,56
2016-04-15,"18:10","Round 4"," Domain Stadium","West Coast","Richmond",125,57
2016-04-16,"13:45","Round 4"," MCG","Essendon","Geelong",42,72
2016-04-16,"14:10","Round 4"," UTAS Stadium","Hawthorn","St Kilda",87,84
2016-04-16,"16:35","Round 4"," Gabba","Brisbane","Gold Coast",107,94
2016-04-16,"19:10","Round 4"," Adelaide Oval","Adelaide","Sydney",113,103
2016-04-16,"19:25","Round 4"," Marvel Stadium","Carlton","Western Bulldogs",49,85
2016-04-17,"13:10","Round 4"," Manuka Oval","GWS","Port Adelaide",151,65
2016-04-17,"15:20","Round 4"," MCG","Collingwood","Melbourne",67,102
2016-04-17,"16:40","Round 4"," Marvel Stadium","North Melbourne","Fremantle",132,101
2016-04-22,"19:50","Round 5"," MCG","Hawthorn","Adelaide",112,109
2016-04-23,"13:45","Round 5"," SCG","Sydney","West Coast",88,49
2016-04-23,"16:35","Round 5"," People First Stadium","Gold Coast","North Melbourne",81,119
2016-04-23,"19:15","Round 5"," Adelaide Oval","Port Adelaide","Geelong",59,107
2016-04-23,"19:25","Round 5"," Marvel Stadium","Western Bulldogs","Brisbane",120,67
