"Date","Time","Round","Venue","Home.Team","Away.Team","Home.Points","Away.Points"
2021-03-18,"19:25","Round 1"," MCG","Richmond","Carlton",105,80
2021-03-19,"19:50","Round 1"," MCG","Collingwood","Western Bulldogs",53,69
2021-03-20,"13:45","Round 1"," MCG","Melbourne","Fremantle",80,58
2021-03-20,"16:05","Round 1"," Adelaide Oval","Adelaide","Geelong",103,91
2021-03-20,"18:45","Round 1"," Gabba","Brisbane","Sydney",94,125
2021-03-20,"19:25","Round 1"," Marvel Stadium","Essendon","Hawthorn",91,92
2021-03-21,"13:10","Round 1"," Marvel Stadium","North Melbourne","Port Adelaide",65,117
2021-03-21,"15:10","Round 1"," Optus Stadium","West Coast","Gold Coast",83,58
2021-03-21,"15:20","Round 1"," ENGIE Stadium","GWS","St Kilda",78,86
2021-03-25,"19:20","Round 2"," MCG","Carlton","Collingwood",85,106
2021-03-26,"19:20","Round 2"," GMHBA Stadium","Geelong","Brisbane",81,80
2021-03-27,"13:45","Round 2"," SCG","Sydney","Adelaide",121,88
2021-03-27,"16:05","Round 2"," Adelaide Oval","Port Adelaide","Essendon",119,65
2021-03-27,"19:10","Round 2"," People First Stadium","Gold Coast","North Melbourne",98,39
2021-03-27,"19:25","Round 2"," Marvel Stadium","St Kilda","Melbourne",73,91
2021-03-28,"13:10","Round 2"," MCG","Hawthorn","Richmond",49,78
2021-03-28,"15:10","Round 2"," Optus Stadium","Fremantle","GWS",87,56
2021-03-28,"15:20","Round 2"," Marvel Stadium","Western Bulldogs","West Coast",100,93
2021-04-01,"19:40","Round 3"," Marvel Stadium","Collingwood","Brisbane",72,73
2021-04-02,"16:20","Round 3"," Marvel Stadium","North Melbourne","Western Bulldogs",39,167
2021-04-02,"19:20","Round 3"," Adelaide Oval","Adelaide","Gold Coast",95,85
2021-04-03,"13:45","Round 3"," MCG","Richmond","Sydney",72,117
2021-04-03,"16:35","Round 3"," Marvel Stadium","Essendon","St Kilda",143,68
2021-04-03,"17:10","Round 3"," Optus Stadium","West Coast","Port Adelaide",108,71
2021-04-04,"15:20","Round 3"," Marvel Stadium","Carlton","Fremantle",109,64
2021-04-04,"18:10","Round 3"," Manuka Oval","GWS","Melbourne",68,102
2021-04-05,"15:20","Round 3"," MCG","Geelong","Hawthorn",69,64
2021-04-08,"19:20","Round 4"," SCG","Sydney","Essendon",83,80
2021-04-09,"19:20","Round 4"," Adelaide Oval","Port Adelaide","Richmond",79,77
2021-04-10,"13:45","Round 4"," Mars Stadium","Western Bulldogs","Brisbane",73,54
2021-04-10,"16:35","Round 4"," Marvel Stadium","St Kilda","West Coast",102,82
2021-04-10,"19:25","Round 4"," MCG","Collingwood","GWS",60,90
2021-04-10,"19:25","Round 4"," People First Stadium","Gold Coast","Carlton",59,70
2021-04-11,"13:10","Round 4"," Marvel Stadium","North Melbourne","Adelaide",68,109
2021-04-11,"14:40","Round 4"," Optus Stadium","Fremantle","Hawthorn",96,81
2021-04-11,"15:20","Round 4"," MCG","Melbourne","Geelong",85,60
2021-04-15,"19:20","Round 5"," Marvel Stadium","St Kilda","Richmond",48,134
2021-04-16,"18:10","Round 5"," Optus Stadium","West Coast","Collingwood",103,76
2021-04-17,"13:45","Round 5"," Marvel Stadium","Western Bulldogs","Gold Coast",118,56
2021-04-17,"16:35","Round 5"," SCG","Sydney","GWS",69,71
2021-04-17,"19:25","Round 5"," MCG","Carlton","Port Adelaide",68,96
2021-04-17,"19:25","Round 5"," Gabba","Brisbane","Essendon",102,45
2021-04-18,"12:40","Round 5"," Adelaide Oval","Adelaide","Fremantle",72,84
2021-04-18,"15:20","Round 5"," MCG","Hawthorn","Melbourne",54,104
2021-04-18,"16:40","Round 5"," GMHBA Stadium","Geelong","North Melbourne",77,47
2021-04-23,"19:20","Round 6"," Manuka Oval","GWS","Western Bulldogs",65,104
2021-04-24,"13:45","Round 6"," People First Stadium","Gold Coast","Sydney",100,60
2021-04-24,"13:45","Round 6"," GMHBA Stadium","Geelong","West Coast",136,39
2021-04-24,"16:35","Round 6"," Marvel Stadium","Carlton","Brisbane",85,103
2021-04-24,"18:10","Round 6"," Optus Stadium","Fremantle","North Melbourne",99,48
2021-04-24,"19:25","Round 6"," MCG","Melbourne","Richmond",82,48
2021-04-25,"12:30","Round 6"," UTAS Stadium","Hawthorn","Adelaide",102,99
2021-04-25,"15:20","Round 6"," MCG","Collingwood","Essendon",85,109
2021-04-25,"18:10","Round 6"," Adelaide Oval","Port Adelaide","St Kilda",93,39
2021-04-30,"19:50","Round 7"," MCG","Richmond","Western Bulldogs",77,55
2021-05-01,"13:40","Round 7"," Adelaide Oval","Adelaide","GWS",39,106
2021-05-01,"13:45","Round 7"," MCG","Collingwood","Gold Coast",55,79
2021-05-01,"16:35","Round 7"," Marvel Stadium","St Kilda","Hawthorn",128,59
2021-05-01,"19:25","Round 7"," SCG","Sydney","Geelong",90,88
2021-05-01,"19:25","Round 7"," Gabba","Brisbane","Port Adelaide",93,44
2021-05-02,"13:10","Round 7"," Ninja Stadium","North Melbourne","Melbourne",73,103
2021-05-02,"14:40","Round 7"," Optus Stadium","West Coast","Fremantle",132,73
2021-05-02,"15:20","Round 7"," MCG","Essendon","Carlton",107,123
2021-05-07,"19:50","Round 8"," MCG","Richmond","Geelong",63,126
2021-05-08,"13:45","Round 8"," People First Stadium","Gold Coast","St Kilda",54,63
2021-05-08,"14:10","Round 8"," ENGIE Stadium","GWS","Essendon",107,105
2021-05-08,"16:35","Round 8"," Marvel Stadium","North Melbourne","Collingwood",76,94
2021-05-08,"19:10","Round 8"," Adelaide Oval","Port Adelaide","Adelaide",87,38
2021-05-08,"19:25","Round 8"," MCG","Melbourne","Sydney",67,58
2021-05-09,"13:10","Round 8"," MCG","Hawthorn","West Coast",60,98
