"Date","Season","Round","Venue","Player","Team","Opposition","Status","Match_id","GA","CP","UP","ED","DE","CM","MI5","One.Percenters","BO","TOG","K","HB","D","M","G","B","T","HO","I50","CL","CG","R50","FF","FA","AF","SC","CCL","SCL","SI","MG","TO","ITC","T5"
2016-03-24,2016,"Round 1","MCG","Kane Lambert","Richmond","Carlton","Home",6172,1,10,20,19,67.9,0,2,2,1,83,16,12,28,8,1,0,7,0,4,3,6,2,1,2,125,130,2,1,9,366,5,2,0
2016-03-24,2016,"Round 1","MCG","Bachar Houli","Richmond","Carlton","Home",6172,1,5,14,18,75,1,0,3,0,90,15,9,24,6,0,0,0,0,3,1,5,8,0,1,78,74,0,1,3,544,9,2,0
2016-03-24,2016,"Round 1","MCG","Dustin Martin","Richmond","Carlton","Home",6172,2,7,18,19,79.2,0,0,1,0,81,15,9,24,2,0,0,3,0,2,6,5,3,0,2,75,86,2,4,6,332,6,1,0
2016-03-24,2016,"Round 1","MCG","Trent Cotchin","Richmond","Carlton","Home",6172,0,10,11,12,57.1,0,0,0,0,83,14,7,21,0,0,0,6,0,1,3,3,5,2,2,76,87,1,2,5,323,4,5,1
2016-03-24,2016,"Round 1","MCG","Brandon Ellis","Richmond","Carlton","Home",6172,1,8,12,17,81,1,0,0,1,88,11,10,21,3,0,0,2,0,0,3,3,0,0,0,70,84,1,2,2,160,4,3,0
2016-03-24,2016,"Round 1","MCG","Alex Rance","Richmond","Carlton","Home",6172,1,9,11,18,90,2,0,0,0,98,9,11,20,7,0,0,4,0,1,0,2,1,0,1,83,101,0,0,3,185,1,10,0
2016-03-24,2016,"Round 1","MCG","Anthony Miles","Richmond","Carlton","Home",6172,0,13,6,14,73.7,0,0,0,0,72,6,13,19,1,1,0,4,0,4,7,3,1,2,1,68,85,3,4,5,213,3,2,0
2016-03-24,2016,"Round 1","MCG","Jack Riewoldt","Richmond","Carlton","Home",6172,0,9,10,12,66.7,0,3,0,0,96,10,8,18,6,2,1,3,0,1,2,3,0,2,2,85,90,0,2,6,148,2,0,1
2016-03-24,2016,"Round 1","MCG","Nick Vlastuin","Richmond","Carlton","Home",6172,0,6,12,14,77.8,0,0,3,0,80,10,8,18,6,1,0,1,0,0,1,1,6,1,1,72,91,0,1,7,263,5,6,0
2016-03-24,2016,"Round 1","MCG","David Astbury","Richmond","Carlton","Home",6172,0,6,9,11,68.8,2,0,6,0,90,10,6,16,7,0,0,0,0,1,0,3,4,0,0,63,67,0,0,1,275,4,10,0
2016-03-24,2016,"Round 1","MCG","Jacob Townsend","Richmond","Carlton","Home",6172,0,8,8,12,75,0,0,0,0,78,9,7,16,4,0,0,3,1,4,2,3,1,0,1,63,81,2,0,6,153,2,2,0
2016-03-24,2016,"Round 1","MCG","Kamdyn McIntosh","Richmond","Carlton","Home",6172,0,7,9,12,85.7,0,0,2,0,87,8,6,14,4,0,0,2,0,2,3,1,1,3,0,59,76,0,3,2,239,2,3,0
2016-03-24,2016,"Round 1","MCG","Sam Lloyd","Richmond","Carlton","Home",6172,0,6,7,10,71.4,1,0,0,0,87,10,4,14,3,2,0,3,0,4,2,2,0,0,1,68,70,0,2,6,290,7,1,0
2016-03-24,2016,"Round 1","MCG","Connor Menadue","Richmond","Carlton","Home",6172,2,4,9,10,76.9,0,2,1,0,82,7,6,13,4,2,0,4,0,1,1,3,3,0,2,67,80,0,1,7,217,2,4,0
2016-03-24,2016,"Round 1","MCG","Shane Edwards","Richmond","Carlton","Home",6172,1,6,4,11,91.7,0,0,0,0,83,7,5,12,1,1,0,3,0,3,2,3,0,1,1,50,72,1,1,7,273,1,1,0
2016-03-24,2016,"Round 1","MCG","Corey Ellis","Richmond","Carlton","Home",6172,0,3,8,7,63.6,1,0,1,0,81,8,3,11,3,1,0,4,0,4,0,1,1,1,0,62,59,0,0,3,341,4,2,0
2016-03-24,2016,"Round 1","MCG","Benjamin Griffiths","Richmond","Carlton","Home",6172,3,5,5,9,90,0,1,3,0,71,6,4,10,4,0,0,1,7,5,1,1,0,0,1,46,73,1,0,4,278,2,1,0
2016-03-24,2016,"Round 1","MCG","Shaun Hampson","Richmond","Carlton","Home",6172,0,3,5,5,62.5,0,0,3,0,76,2,6,8,1,0,1,0,24,0,1,1,1,1,0,47,51,1,0,2,49,1,1,0
2016-03-24,2016,"Round 1","MCG","Tyrone Vickery","Richmond","Carlton","Home",6172,0,3,5,6,75,2,3,0,0,72,6,2,8,4,3,2,0,1,0,0,0,0,1,0,56,62,0,0,6,198,0,0,0
2016-03-24,2016,"Round 1","MCG","Daniel Rioli","Richmond","Carlton","Home",6172,0,1,5,4,57.1,0,1,0,0,69,6,1,7,2,0,2,6,0,3,0,0,1,1,0,53,39,0,0,3,228,1,1,2
2016-03-24,2016,"Round 1","MCG","Dylan Grimes","Richmond","Carlton","Home",6172,0,1,5,5,83.3,0,0,6,0,84,4,2,6,3,0,0,2,0,1,0,4,0,0,3,24,27,0,0,0,89,2,1,0
