"Date","Season","Round","Venue","Player","Team","Opposition","Status","Match_id","GA","CP","UP","ED","DE","CM","MI5","One.Percenters","BO","TOG","K","HB","D","M","G","B","T","HO","I50","CL","CG","R50","FF","FA","AF","SC","CCL","SCL","SI","MG","TO","ITC","T5"
2022-03-16,2022,"Round 1","MCG","Christian Petracca","Melbourne","Western Bulldogs","Home",10544,1,16,22,29,76.3,0,2,0,0,87,24,14,38,8,2,1,2,0,11,9,3,2,0,1,142,163,3,6,13,869,4,3,0
2022-03-16,2022,"Round 1","MCG","Clayton Oliver","Melbourne","Western Bulldogs","Home",10544,0,15,20,24,75,0,0,2,1,81,19,13,32,6,0,0,5,0,4,6,12,3,0,7,100,112,3,3,8,549,8,7,2
2022-03-16,2022,"Round 1","MCG","Jack Viney","Melbourne","Western Bulldogs","Home",10544,0,12,11,16,69.6,0,1,1,0,79,11,12,23,5,1,0,4,0,3,4,4,2,2,0,96,93,1,3,5,329,4,7,0
2022-03-16,2022,"Round 1","MCG","Angus Brayshaw","Melbourne","Western Bulldogs","Home",10544,0,4,19,15,65.2,0,0,1,0,83,12,11,23,6,0,0,3,0,2,0,4,2,1,1,86,79,0,0,3,264,3,7,0
2022-03-16,2022,"Round 1","MCG","Ed Langdon","Melbourne","Western Bulldogs","Home",10544,1,11,12,17,77.3,0,0,2,1,100,12,10,22,3,1,0,0,0,5,1,3,3,0,1,68,103,0,1,6,446,4,7,0
2022-03-16,2022,"Round 1","MCG","James Jordon","Melbourne","Western Bulldogs","Home",10544,0,8,12,16,80,0,0,0,0,70,10,10,20,4,0,0,2,0,0,0,2,1,3,0,73,74,0,0,2,259,5,8,0
2022-03-16,2022,"Round 1","MCG","Alex N-Bullen","Melbourne","Western Bulldogs","Home",10544,3,8,10,13,72.2,1,0,2,2,88,10,8,18,3,0,1,7,0,6,0,1,0,1,0,85,94,0,0,8,320,4,4,1
2022-03-16,2022,"Round 1","MCG","James Harmes","Melbourne","Western Bulldogs","Home",10544,0,7,10,14,82.4,1,1,3,0,77,6,11,17,1,1,0,5,0,3,2,4,1,2,1,68,88,0,2,4,163,3,2,2
2022-03-16,2022,"Round 1","MCG","Max Gawn","Melbourne","Western Bulldogs","Home",10544,0,12,3,8,57.1,2,0,3,0,97,11,3,14,4,1,0,1,34,5,4,9,2,2,6,79,92,1,3,8,326,4,4,0
2022-03-16,2022,"Round 1","MCG","Steven May","Melbourne","Western Bulldogs","Home",10544,0,3,6,11,78.6,2,0,12,3,97,13,1,14,7,0,0,0,0,1,0,3,5,0,1,59,76,0,0,1,384,3,5,0
2022-03-16,2022,"Round 1","MCG","Charlie Spargo","Melbourne","Western Bulldogs","Home",10544,0,5,10,9,64.3,0,0,3,0,63,8,6,14,2,0,1,2,0,4,0,2,0,2,1,50,66,0,0,4,182,4,2,0
2022-03-16,2022,"Round 1","MCG","Ben Brown","Melbourne","Western Bulldogs","Home",10544,0,6,7,8,61.5,2,6,2,0,86,9,4,13,8,3,3,0,0,1,0,1,0,0,1,77,87,0,0,11,245,1,0,0
2022-03-16,2022,"Round 1","MCG","Tom Sparrow","Melbourne","Western Bulldogs","Home",10544,0,5,8,10,76.9,1,1,0,0,65,6,7,13,5,0,0,2,0,3,2,3,1,0,1,52,45,1,1,3,197,2,1,0
2022-03-16,2022,"Round 1","MCG","Tom McDonald","Melbourne","Western Bulldogs","Home",10544,1,3,8,9,75,1,0,4,0,83,10,2,12,5,0,1,0,0,1,0,2,5,1,1,48,64,0,0,2,218,2,3,0
2022-03-16,2022,"Round 1","MCG","Luke Jackson","Melbourne","Western Bulldogs","Home",10544,0,8,5,10,83.3,2,1,1,0,86,3,9,12,5,1,1,4,10,1,1,1,1,0,1,72,88,0,1,7,166,0,1,1
2022-03-16,2022,"Round 1","MCG","Jayden Hunt","Melbourne","Western Bulldogs","Home",10544,0,4,7,9,81.8,1,0,2,0,86,7,4,11,4,0,0,1,0,0,0,2,2,0,0,45,43,0,0,2,226,2,4,0
2022-03-16,2022,"Round 1","MCG","Joel Smith","Melbourne","Western Bulldogs","Home",10544,0,4,5,7,63.6,2,0,6,0,81,10,1,11,5,0,0,2,0,0,0,5,4,0,2,49,48,0,0,0,229,2,6,0
2022-03-16,2022,"Round 1","MCG","Bayley Fritsch","Melbourne","Western Bulldogs","Home",10544,1,3,5,5,55.6,1,3,0,0,81,8,1,9,4,2,2,1,0,2,0,2,0,0,1,53,61,0,0,6,251,2,0,0
2022-03-16,2022,"Round 1","MCG","Toby Bedford  ↙","Melbourne","Western Bulldogs","Home",10544,0,4,5,7,77.8,0,1,2,1,55,5,4,9,3,0,1,2,0,1,0,1,1,2,0,43,46,0,0,1,124,1,4,1
2022-03-16,2022,"Round 1","MCG","Jake Bowey","Melbourne","Western Bulldogs","Home",10544,0,3,6,8,88.9,0,0,2,0,73,8,1,9,2,1,0,0,0,1,1,1,2,0,0,38,58,0,1,1,197,2,4,0
2022-03-16,2022,"Round 1","MCG","Adam Tomlinson","Melbourne","Western Bulldogs","Home",10544,0,3,6,6,75,0,0,4,0,100,6,2,8,4,0,0,1,0,0,0,2,1,0,1,35,39,0,0,0,151,3,3,0
