"Date","Time","Round","Venue","Home.Team","Away.Team","Home.Points","Away.Points"
2022-08-07,"14:10","Round 21"," Optus Stadium","West Coast","Adelaide",86,102
2022-08-07,"15:20","Round 21"," Gabba","Brisbane","Carlton",114,81
2022-08-12,"19:50","Round 22"," Marvel Stadium","St Kilda","Brisbane",66,81
2022-08-13,"13:40","Round 22"," Adelaide Oval","Adelaide","North Melbourne",103,74
2022-08-13,"13:45","Round 22"," Marvel Stadium","Western Bulldogs","GWS",62,57
2022-08-13,"16:35","Round 22"," People First Stadium","Gold Coast","Geelong",59,119
2022-08-13,"17:40","Round 22"," Optus Stadium","Fremantle","West Coast",71,47
2022-08-13,"19:25","Round 22"," MCG","Melbourne","Carlton",79,74
2022-08-14,"13:10","Round 22"," MCG","Richmond","Hawthorn",128,67
2022-08-14,"15:20","Round 22"," SCG","Sydney","Collingwood",77,50
2022-08-14,"16:40","Round 22"," Marvel Stadium","Essendon","Port Adelaide",62,146
2022-08-19,"19:50","Round 23"," Gabba","Brisbane","Melbourne",57,115
2022-08-20,"13:45","Round 23"," Manuka Oval","GWS","Fremantle",69,89
2022-08-20,"14:10","Round 23"," Marvel Stadium","North Melbourne","Gold Coast",47,114
2022-08-20,"16:35","Round 23"," GMHBA Stadium","Geelong","West Coast",131,46
2022-08-20,"19:00","Round 23"," Adelaide Oval","Port Adelaide","Adelaide",111,55
2022-08-20,"19:25","Round 23"," MCG","Essendon","Richmond",75,141
2022-08-21,"13:10","Round 23"," UTAS Stadium","Hawthorn","Western Bulldogs",64,87
2022-08-21,"15:20","Round 23"," MCG","Carlton","Collingwood",74,75
2022-08-21,"16:40","Round 23"," Marvel Stadium","St Kilda","Sydney",74,88
2022-09-01,"19:20","Elimination Final"," Gabba","Brisbane","Richmond",106,104
2022-09-02,"19:50","Qualifying Final"," MCG","Melbourne","Sydney",69,91
2022-09-03,"16:35","Qualifying Final"," MCG","Geelong","Collingwood",78,72
2022-09-03,"18:10","Elimination Final"," Optus Stadium","Fremantle","Western Bulldogs",73,60
2022-09-09,"19:50","Semi Final"," MCG","Melbourne","Brisbane",79,92
2022-09-10,"19:25","Semi Final"," MCG","Collingwood","Fremantle",79,59
2022-09-16,"19:50","Preliminary Finals"," MCG","Geelong","Brisbane",120,49
2022-09-17,"16:45","Preliminary Finals"," SCG","Sydney","Collingwood",95,94
2022-09-24,"14:30","Grand Final"," MCG","Geelong","Sydney",133,52
