"Date","Time","Round","Venue","Home.Team","Away.Team","Home.Points","Away.Points"
2022-03-16,"19:10","Round 1"," MCG","Melbourne","Western Bulldogs",97,71
2022-03-17,"19:25","Round 1"," MCG","Carlton","Richmond",101,76
2022-03-18,"19:50","Round 1"," Marvel Stadium","St Kilda","Collingwood",85,102
2022-03-19,"14:10","Round 1"," MCG","Geelong","Essendon",138,72
2022-03-19,"17:10","Round 1"," Accor Stadium","GWS","Sydney",92,112
2022-03-19,"19:10","Round 1"," Gabba","Brisbane","Port Adelaide",80,69
2022-03-20,"13:10","Round 1"," MCG","Hawthorn","North Melbourne",78,58
2022-03-20,"15:40","Round 1"," Adelaide Oval","Adelaide","Fremantle",82,83
2022-03-20,"16:40","Round 1"," Optus Stadium","West Coast","Gold Coast",80,107
2022-03-24,"19:20","Round 2"," Marvel Stadium","Western Bulldogs","Carlton",90,102
2022-03-25,"19:50","Round 2"," SCG","Sydney","Geelong",107,77
2022-03-26,"13:45","Round 2"," MCG","Collingwood","Adelaide",100,58
2022-03-26,"16:35","Round 2"," Marvel Stadium","Essendon","Brisbane",75,97
2022-03-26,"19:00","Round 2"," People First Stadium","Gold Coast","Melbourne",69,82
2022-03-26,"19:10","Round 2"," Adelaide Oval","Port Adelaide","Hawthorn",56,120
2022-03-27,"13:10","Round 2"," Marvel Stadium","North Melbourne","West Coast",74,59
2022-03-27,"15:20","Round 2"," Optus Stadium","Fremantle","St Kilda",55,65
2022-03-27,"15:20","Round 2"," MCG","Richmond","GWS",109,73
2022-03-31,"19:20","Round 3"," Marvel Stadium","Western Bulldogs","Sydney",71,60
2022-04-01,"19:20","Round 3"," MCG","Melbourne","Essendon",99,70
2022-04-01,"19:50","Round 3"," Adelaide Oval","Adelaide","Port Adelaide",96,92
2022-04-02,"16:35","Round 3"," ENGIE Stadium","GWS","Gold Coast",83,57
2022-04-02,"19:00","Round 3"," Gabba","Brisbane","North Melbourne",156,48
2022-04-02,"19:25","Round 3"," MCG","Collingwood","Geelong",91,104
2022-04-03,"13:10","Round 3"," MCG","Carlton","Hawthorn",74,73
2022-04-03,"15:20","Round 3"," Marvel Stadium","St Kilda","Richmond",117,84
2022-04-03,"16:20","Round 3"," Optus Stadium","West Coast","Fremantle",47,102
2022-04-07,"19:10","Round 4"," Adelaide Oval","Port Adelaide","Melbourne",36,68
2022-04-08,"19:50","Round 4"," GMHBA Stadium","Geelong","Brisbane",80,70
2022-04-09,"14:40","Round 4"," SCG","Sydney","North Melbourne",86,75
2022-04-09,"16:35","Round 4"," Marvel Stadium","Collingwood","West Coast",74,87
2022-04-09,"17:25","Round 4"," Optus Stadium","Fremantle","GWS",88,54
2022-04-09,"19:25","Round 4"," MCG","Richmond","Western Bulldogs",99,61
2022-04-10,"13:10","Round 4"," Marvel Stadium","Essendon","Adelaide",103,99
2022-04-10,"15:20","Round 4"," MCG","Hawthorn","St Kilda",73,142
2022-04-10,"16:10","Round 4"," People First Stadium","Gold Coast","Carlton",92,62
2022-04-14,"19:35","Round 5"," Gabba","Brisbane","Collingwood",98,91
2022-04-15,"16:20","Round 5"," Marvel Stadium","North Melbourne","Western Bulldogs",71,139
2022-04-15,"17:40","Round 5"," Optus Stadium","West Coast","Sydney",58,121
2022-04-16,"13:45","Round 5"," Marvel Stadium","St Kilda","Gold Coast",87,61
2022-04-16,"16:05","Round 5"," Adelaide Oval","Adelaide","Richmond",101,82
2022-04-16,"19:25","Round 5"," MCG","Melbourne","GWS",120,53
2022-04-17,"13:40","Round 5"," MCG","Carlton","Port Adelaide",94,91
2022-04-17,"16:40","Round 5"," Marvel Stadium","Essendon","Fremantle",59,107
2022-04-18,"15:20","Round 5"," MCG","Hawthorn","Geelong",92,80
2022-04-22,"19:50","Round 6"," Manuka Oval","GWS","St Kilda",60,77
2022-04-23,"13:45","Round 6"," Mars Stadium","Western Bulldogs","Adelaide",62,63
2022-04-23,"16:05","Round 6"," Adelaide Oval","Port Adelaide","West Coast",117,33
2022-04-23,"17:40","Round 6"," Optus Stadium","Fremantle","Carlton",97,62
2022-04-24,"13:10","Round 6"," Ninja Stadium","North Melbourne","Geelong",61,121
2022-04-24,"16:10","Round 6"," People First Stadium","Gold Coast","Brisbane",80,132
2022-04-24,"19:25","Round 6"," MCG","Richmond","Melbourne",54,76
2022-04-25,"12:30","Round 6"," UTAS Stadium","Hawthorn","Sydney",68,109
2022-04-25,"15:20","Round 6"," MCG","Essendon","Collingwood",82,93
2022-04-29,"18:10","Round 7"," Optus Stadium","West Coast","Richmond",56,165
2022-04-30,"13:40","Round 7"," Adelaide Oval","Adelaide","GWS",54,113
2022-04-30,"13:45","Round 7"," GMHBA Stadium","Geelong","Fremantle",66,69
2022-04-30,"16:35","Round 7"," MCG","Melbourne","Hawthorn",91,81
2022-04-30,"19:25","Round 7"," Cazaly's Stadium","St Kilda","Port Adelaide",42,43
2022-04-30,"19:25","Round 7"," Marvel Stadium","Carlton","North Melbourne",114,64
2022-05-01,"13:10","Round 7"," MCG","Collingwood","Gold Coast",115,90
2022-05-01,"15:20","Round 7"," Marvel Stadium","Western Bulldogs","Essendon",103,71
2022-05-01,"16:40","Round 7"," SCG","Sydney","Brisbane",89,113
2022-05-06,"18:40","Round 8"," Optus Stadium","Fremantle","North Melbourne",102,24
2022-05-06,"19:00","Round 8"," Adelaide Oval","Port Adelaide","Western Bulldogs",86,69
2022-05-07,"13:45","Round 8"," SCG","Sydney","Gold Coast",61,75
2022-05-07,"13:45","Round 8"," MCG","Richmond","Collingwood",113,86
2022-05-07,"16:35","Round 8"," Manuka Oval","GWS","Geelong",35,88
2022-05-07,"19:25","Round 8"," Marvel Stadium","Essendon","Hawthorn",108,81
2022-05-07,"19:25","Round 8"," Gabba","Brisbane","West Coast",105,30
2022-05-08,"13:10","Round 8"," MCG","Melbourne","St Kilda",93,55
2022-05-08,"16:40","Round 8"," Marvel Stadium","Carlton","Adelaide",116,68
2022-05-13,"19:50","Round 9"," Marvel Stadium","Collingwood","Western Bulldogs",51,99
2022-05-14,"13:45","Round 9"," MCG","Hawthorn","Richmond",94,117
2022-05-14,"14:10","Round 9"," Ninja Stadium","North Melbourne","Port Adelaide",46,115
2022-05-14,"16:35","Round 9"," Marvel Stadium","St Kilda","Geelong",90,80
2022-05-14,"19:10","Round 9"," Adelaide Oval","Adelaide","Brisbane",66,102
2022-05-14,"19:25","Round 9"," SCG","Sydney","Essendon",105,47
2022-05-15,"13:40","Round 9"," People First Stadium","Gold Coast","Fremantle",69,33
2022-05-15,"15:20","Round 9"," Optus Stadium","West Coast","Melbourne",38,112
2022-05-15,"15:20","Round 9"," ENGIE Stadium","GWS","Carlton",75,105
2022-05-20,"19:50","Round 10"," Marvel Stadium","Carlton","Sydney",102,87
2022-05-21,"13:45","Round 10"," Mars Stadium","Western Bulldogs","Gold Coast",106,87
2022-05-21,"13:45","Round 10"," GMHBA Stadium","Geelong","Port Adelaide",82,47
2022-05-21,"16:35","Round 10"," Marvel Stadium","North Melbourne","Melbourne",53,100
2022-05-21,"19:00","Round 10"," Adelaide Oval","Adelaide","St Kilda",69,90
2022-05-21,"19:30","Round 10"," MCG","Richmond","Essendon",80,48
2022-05-22,"14:10","Round 10"," ENGIE Stadium","GWS","West Coast",138,86
2022-05-22,"15:20","Round 10"," Optus Stadium","Fremantle","Collingwood",44,80
2022-05-22,"15:20","Round 10"," UTAS Stadium","Hawthorn","Brisbane",117,112
2022-05-27,"19:50","Round 11"," SCG","Sydney","Richmond",106,100
2022-05-28,"13:45","Round 11"," Gabba","Brisbane","GWS",110,96
2022-05-28,"13:45","Round 11"," GMHBA Stadium","Geelong","Adelaide",97,55
2022-05-28,"16:35","Round 11"," MCG","Melbourne","Fremantle",56,94
2022-05-28,"17:30","Round 11"," Optus Stadium","West Coast","Western Bulldogs",60,161
2022-05-28,"19:10","Round 11"," TIO Stadium","Gold Coast","Hawthorn",121,54
2022-05-29,"13:10","Round 11"," Marvel Stadium","St Kilda","North Melbourne",103,50
2022-05-29,"15:20","Round 11"," MCG","Collingwood","Carlton",79,75
2022-05-29,"16:10","Round 11"," Adelaide Oval","Port Adelaide","Essendon",66,50
2022-06-03,"19:50","Round 12"," Marvel Stadium","Western Bulldogs","Geelong",70,83
2022-06-04,"13:15","Round 12"," Adelaide Oval","Adelaide","West Coast",88,57
2022-06-04,"16:05","Round 12"," TIO Stadium","Gold Coast","North Melbourne",109,47
2022-06-04,"19:25","Round 12"," MCG","Melbourne","Sydney",61,73
2022-06-05,"14:10","Round 12"," MCG","Hawthorn","Collingwood",68,72
2022-06-05,"15:20","Round 12"," Optus Stadium","Fremantle","Brisbane",99,85
2022-06-09,"19:20","Round 13"," MCG","Richmond","Port Adelaide",77,65
2022-06-10,"19:50","Round 13"," MCG","Essendon","Carlton",54,80
2022-06-11,"14:10","Round 13"," Optus Stadium","Fremantle","Hawthorn",95,82
2022-06-11,"19:25","Round 13"," Gabba","Brisbane","St Kilda",78,57
2022-06-12,"15:20","Round 13"," Marvel Stadium","North Melbourne","GWS",53,102
2022-06-13,"15:20","Round 13"," MCG","Collingwood","Melbourne",82,56
2022-06-16,"19:20","Round 14"," MCG","Richmond","Carlton",81,66
2022-06-17,"19:50","Round 14"," Marvel Stadium","St Kilda","Essendon",72,107
2022-06-18,"13:15","Round 14"," Adelaide Oval","Port Adelaide","Sydney",82,59
2022-06-18,"14:35","Round 14"," Optus Stadium","West Coast","Geelong",63,81
2022-06-18,"19:25","Round 14"," ENGIE Stadium","GWS","Western Bulldogs",105,125
2022-06-19,"15:20","Round 14"," People First Stadium","Gold Coast","Adelaide",116,73
2022-06-23,"19:20","Round 15"," MCG","Melbourne","Brisbane",117,53
2022-06-24,"18:40","Round 15"," Optus Stadium","West Coast","Essendon",107,97
2022-06-24,"19:00","Round 15"," Marvel Stadium","Western Bulldogs","Hawthorn",125,83
2022-06-25,"13:45","Round 15"," Marvel Stadium","Carlton","Fremantle",81,50
2022-06-25,"16:35","Round 15"," MCG","Geelong","Richmond",89,86
2022-06-25,"19:25","Round 15"," SCG","Sydney","St Kilda",83,32
2022-06-26,"13:10","Round 15"," Ninja Stadium","North Melbourne","Adelaide",58,115
2022-06-26,"15:20","Round 15"," MCG","Collingwood","GWS",88,77
2022-06-26,"15:40","Round 15"," Adelaide Oval","Port Adelaide","Gold Coast",93,91
2022-06-30,"19:20","Round 16"," Gabba","Brisbane","Western Bulldogs",108,67
2022-07-01,"19:50","Round 16"," Marvel Stadium","Carlton","St Kilda",78,93
2022-07-02,"13:45","Round 16"," MCG","Essendon","Sydney",95,86
2022-07-02,"16:05","Round 16"," Adelaide Oval","Adelaide","Melbourne",65,94
2022-07-02,"19:25","Round 16"," People First Stadium","Gold Coast","Collingwood",62,67
2022-07-02,"19:25","Round 16"," GMHBA Stadium","Geelong","North Melbourne",144,32
2022-07-03,"14:10","Round 16"," MCG","Richmond","West Coast",128,93
2022-07-03,"15:20","Round 16"," Optus Stadium","Fremantle","Port Adelaide",99,91
2022-07-03,"15:20","Round 16"," ENGIE Stadium","GWS","Hawthorn",72,50
2022-07-07,"19:20","Round 17"," GMHBA Stadium","Geelong","Melbourne",91,63
2022-07-08,"19:50","Round 17"," SCG","Sydney","Western Bulldogs",120,67
2022-07-09,"13:45","Round 17"," MCG","Collingwood","North Melbourne",88,81
2022-07-09,"16:35","Round 17"," People First Stadium","Gold Coast","Richmond",94,92
2022-07-09,"19:00","Round 17"," Adelaide Oval","Port Adelaide","GWS",84,29
2022-07-09,"19:25","Round 17"," Marvel Stadium","St Kilda","Fremantle",70,111
2022-07-10,"13:10","Round 17"," Gabba","Brisbane","Essendon",90,100
2022-07-10,"14:40","Round 17"," Optus Stadium","West Coast","Carlton",53,116
2022-07-10,"15:20","Round 17"," Marvel Stadium","Hawthorn","Adelaide",86,54
2022-07-15,"19:50","Round 18"," Marvel Stadium","Western Bulldogs","St Kilda",84,56
2022-07-16,"13:15","Round 18"," Adelaide Oval","Adelaide","Collingwood",86,91
2022-07-16,"13:45","Round 18"," Manuka Oval","GWS","Brisbane",59,99
2022-07-16,"16:35","Round 18"," Marvel Stadium","North Melbourne","Richmond",92,88
2022-07-16,"17:30","Round 18"," Optus Stadium","Fremantle","Sydney",65,82
2022-07-16,"19:25","Round 18"," MCG","Carlton","Geelong",55,85
2022-07-17,"13:10","Round 18"," MCG","Hawthorn","West Coast",102,77
2022-07-17,"15:20","Round 18"," TIO Traeger Park","Melbourne","Port Adelaide",83,69
2022-07-17,"16:40","Round 18"," Marvel Stadium","Essendon","Gold Coast",103,55
2022-07-22,"19:50","Round 19"," Marvel Stadium","Richmond","Fremantle",52,52
2022-07-23,"13:45","Round 19"," Ninja Stadium","North Melbourne","Hawthorn",75,121
2022-07-23,"13:45","Round 19"," SCG","Sydney","Adelaide",118,85
2022-07-23,"16:05","Round 19"," Adelaide Oval","Port Adelaide","Geelong",94,106
2022-07-23,"19:10","Round 19"," Gabba","Brisbane","Gold Coast",110,93
2022-07-23,"19:25","Round 19"," Marvel Stadium","Western Bulldogs","Melbourne",110,100
2022-07-24,"13:10","Round 19"," Marvel Stadium","Carlton","GWS",90,54
2022-07-24,"14:40","Round 19"," Optus Stadium","West Coast","St Kilda",62,90
2022-07-24,"15:20","Round 19"," MCG","Collingwood","Essendon",80,76
2022-07-29,"18:10","Round 20"," Optus Stadium","Fremantle","Melbourne",39,85
2022-07-30,"13:45","Round 20"," MCG","Collingwood","Port Adelaide",88,82
2022-07-30,"14:10","Round 20"," SCG","Sydney","GWS",112,39
2022-07-30,"16:35","Round 20"," Marvel Stadium","St Kilda","Hawthorn",75,63
2022-07-30,"19:00","Round 20"," Adelaide Oval","Adelaide","Carlton",84,55
2022-07-30,"19:25","Round 20"," GMHBA Stadium","Geelong","Western Bulldogs",94,66
2022-07-31,"13:10","Round 20"," People First Stadium","Gold Coast","West Coast",107,104
2022-07-31,"15:20","Round 20"," MCG","Richmond","Brisbane",104,97
2022-07-31,"16:40","Round 20"," Marvel Stadium","Essendon","North Melbourne",114,66
2022-08-05,"19:50","Round 21"," MCG","Melbourne","Collingwood",89,96
2022-08-06,"13:45","Round 21"," UTAS Stadium","Hawthorn","Gold Coast",70,63
2022-08-06,"14:10","Round 21"," ENGIE Stadium","GWS","Essendon",96,69
2022-08-06,"16:35","Round 21"," Marvel Stadium","Western Bulldogs","Fremantle",78,95
2022-08-06,"19:10","Round 21"," Adelaide Oval","Port Adelaide","Richmond",71,109
2022-08-06,"19:25","Round 21"," GMHBA Stadium","Geelong","St Kilda",110,65
2022-08-07,"13:10","Round 21"," Marvel Stadium","North Melbourne","Sydney",88,126
