"Date","Time","Round","Venue","Home.Team","Away.Team","Home.Points","Away.Points"
2019-03-21,"19:25","Round 1"," MCG","Carlton","Richmond",64,97
2019-03-22,"19:50","Round 1"," MCG","Collingwood","Geelong",65,72
2019-03-23,"13:45","Round 1"," MCG","Melbourne","Port Adelaide",61,87
2019-03-23,"16:05","Round 1"," Adelaide Oval","Adelaide","Hawthorn",55,87
2019-03-23,"19:20","Round 1"," Gabba","Brisbane","West Coast",102,58
2019-03-23,"19:25","Round 1"," Marvel Stadium","Western Bulldogs","Sydney",82,65
2019-03-24,"13:10","Round 1"," Marvel Stadium","St Kilda","Gold Coast",85,84
2019-03-24,"15:20","Round 1"," ENGIE Stadium","GWS","Essendon",112,40
2019-03-24,"15:20","Round 1"," Optus Stadium","Fremantle","North Melbourne",141,59
2019-03-28,"19:20","Round 2"," MCG","Richmond","Collingwood",66,110
2019-03-29,"19:50","Round 2"," SCG","Sydney","Adelaide",62,88
2019-03-30,"16:35","Round 2"," Marvel Stadium","Essendon","St Kilda",65,76
2019-03-30,"16:40","Round 2"," Adelaide Oval","Port Adelaide","Carlton",88,72
2019-03-30,"17:10","Round 2"," Optus Stadium","West Coast","GWS",104,52
2019-03-30,"19:25","Round 2"," GMHBA Stadium","Geelong","Melbourne",126,46
2019-03-31,"13:10","Round 2"," Marvel Stadium","North Melbourne","Brisbane",87,107
2019-03-31,"15:20","Round 2"," MCG","Hawthorn","Western Bulldogs",87,106
2019-03-31,"15:40","Round 2"," People First Stadium","Gold Coast","Fremantle",61,58
2019-04-04,"19:20","Round 3"," Adelaide Oval","Adelaide","Geelong",75,99
2019-04-05,"19:50","Round 3"," MCG","Melbourne","Essendon",112,130
2019-04-06,"13:45","Round 3"," Marvel Stadium","Carlton","Sydney",74,93
2019-04-06,"16:35","Round 3"," ENGIE Stadium","GWS","Richmond",125,76
2019-04-06,"18:25","Round 3"," Gabba","Brisbane","Port Adelaide",107,90
2019-04-06,"19:25","Round 3"," MCG","Collingwood","West Coast",76,98
2019-04-07,"14:20","Round 3"," Marvel Stadium","Western Bulldogs","Gold Coast",68,73
2019-04-07,"15:20","Round 3"," MCG","Hawthorn","North Melbourne",87,71
2019-04-07,"15:20","Round 3"," Optus Stadium","Fremantle","St Kilda",71,66
2019-04-11,"19:20","Round 4"," SCG","Sydney","Melbourne",78,100
2019-04-12,"19:50","Round 4"," MCG","Collingwood","Western Bulldogs",78,64
2019-04-13,"13:45","Round 4"," GMHBA Stadium","Geelong","GWS",75,79
