"Date","Season","Round","Venue","Player","Team","Opposition","Status","Match_id","GA","CP","UP","ED","DE","CM","MI5","One.Percenters","BO","TOG","K","HB","D","M","G","B","T","HO","I50","CL","CG","R50","FF","FA","AF","SC","CCL","SCL","SI","MG","TO","ITC","T5"
2020-03-19,2020,"Round 1","MCG","Dion Prestia","Richmond","Carlton","Home",9928,2,7,19,18,72,0,0,1,0,79,11,14,25,2,1,0,5,0,9,2,4,2,2,2,89,118,2,0,8,546,8,3,0
2020-03-19,2020,"Round 1","MCG","Dustin Martin","Richmond","Carlton","Home",9928,2,8,12,18,75,1,1,3,1,93,12,12,24,3,1,1,4,0,4,3,3,0,1,1,90,126,3,0,8,257,2,3,1
2020-03-19,2020,"Round 1","MCG","Trent Cotchin","Richmond","Carlton","Home",9928,0,9,11,12,63.2,1,0,1,0,80,11,8,19,3,0,2,2,0,5,3,6,4,1,2,63,94,2,1,7,463,5,2,0
2020-03-19,2020,"Round 1","MCG","Liam Baker","Richmond","Carlton","Home",9928,0,10,6,12,75,0,0,4,0,82,6,10,16,2,0,0,1,0,0,1,2,4,1,1,46,91,0,1,7,222,4,10,0
2020-03-19,2020,"Round 1","MCG","Shane Edwards","Richmond","Carlton","Home",9928,2,6,10,13,86.7,0,0,2,0,90,7,8,15,1,1,0,2,0,6,5,2,0,1,1,52,86,4,1,8,312,3,0,0
2020-03-19,2020,"Round 1","MCG","Josh Caddy","Richmond","Carlton","Home",9928,2,2,11,12,80,1,0,1,0,94,10,5,15,5,0,0,3,0,5,2,3,1,0,0,67,84,0,2,5,299,6,3,1
2020-03-19,2020,"Round 1","MCG","Jayden Short","Richmond","Carlton","Home",9928,0,3,11,14,93.3,1,0,1,0,79,13,2,15,5,0,0,2,0,1,0,0,4,0,0,66,86,0,0,1,511,6,3,0
2020-03-19,2020,"Round 1","MCG","David Astbury","Richmond","Carlton","Home",9928,0,5,8,14,100,0,0,5,0,98,9,5,14,3,0,0,2,0,0,0,3,6,1,2,49,90,0,0,3,300,1,7,0
2020-03-19,2020,"Round 1","MCG","Kane Lambert","Richmond","Carlton","Home",9928,1,6,10,11,78.6,0,1,2,0,82,6,8,14,3,1,1,2,0,0,4,1,2,1,0,59,90,0,4,8,203,2,2,0
2020-03-19,2020,"Round 1","MCG","Marlion Pickett","Richmond","Carlton","Home",9928,1,6,8,10,71.4,0,1,3,0,73,8,6,14,1,0,0,5,0,5,2,1,1,1,0,60,94,0,2,6,267,3,3,0
