"Date","Time","Round","Venue","Home.Team","Away.Team","Home.Points","Away.Points"
2024-04-07,"12:00","Round 4"," Adelaide Hills","Gold Coast","GWS",89,117
2024-04-07,"14:50","Round 4"," Norwood Oval","Richmond","St Kilda",60,67
2024-04-07,"16:40","Round 4"," Adelaide Oval","Collingwood","Hawthorn",77,72
2024-04-11,"19:30","Round 5"," MCG","Melbourne","Brisbane",60,82
2024-04-12,"19:40","Round 5"," Marvel Stadium","Western Bulldogs","Essendon",67,96
2024-04-13,"13:45","Round 5"," Manuka Oval","GWS","St Kilda",80,79
2024-04-13,"16:35","Round 5"," Marvel Stadium","Carlton","Adelaide",98,100
2024-04-13,"19:00","Round 5"," Adelaide Oval","Port Adelaide","Fremantle",66,63
2024-04-13,"19:30","Round 5"," People First Stadium","Gold Coast","Hawthorn",109,56
2024-04-14,"13:00","Round 5"," GMHBA Stadium","Geelong","North Melbourne",139,64
2024-04-14,"14:00","Round 5"," Optus Stadium","West Coast","Richmond",109,70
2024-04-18,"19:30","Round 6"," Marvel Stadium","St Kilda","Western Bulldogs",64,124
2024-04-19,"19:10","Round 6"," Adelaide Oval","Adelaide","Essendon",75,78
2024-04-20,"13:45","Round 6"," MCG","Collingwood","Port Adelaide",123,81
2024-04-20,"16:35","Round 6"," Marvel Stadium","Carlton","GWS",117,98
2024-04-20,"18:10","Round 6"," Optus Stadium","West Coast","Fremantle",105,68
2024-04-20,"19:30","Round 6"," Gabba","Brisbane","Geelong",37,63
2024-04-21,"13:05","Round 6"," SCG","Sydney","Gold Coast",110,57
2024-04-21,"16:05","Round 6"," Marvel Stadium","North Melbourne","Hawthorn",68,113
2024-04-24,"19:25","Round 7"," MCG","Richmond","Melbourne",42,85
2024-04-25,"15:20","Round 7"," MCG","Essendon","Collingwood",85,85
2024-04-25,"19:35","Round 7"," Manuka Oval","GWS","Brisbane",113,59
2024-04-26,"19:10","Round 7"," Adelaide Oval","Port Adelaide","St Kilda",82,72
2024-04-27,"13:45","Round 7"," Ninja Stadium","North Melbourne","Adelaide",81,138
2024-04-27,"16:35","Round 7"," MCG","Geelong","Carlton",118,105
2024-04-27,"17:40","Round 7"," Optus Stadium","Fremantle","Western Bulldogs",95,71
2024-04-28,"13:00","Round 7"," People First Stadium","Gold Coast","West Coast",112,75
2024-04-28,"16:00","Round 7"," MCG","Hawthorn","Sydney",42,118
2024-05-02,"19:00","Round 8"," Adelaide Oval","Adelaide","Port Adelaide",78,48
2024-05-03,"19:40","Round 8"," MCG","Carlton","Collingwood",79,85
2024-05-04,"13:45","Round 8"," SCG","Sydney","GWS",98,69
2024-05-04,"16:35","Round 8"," Marvel Stadium","St Kilda","North Melbourne",103,65
2024-05-04,"18:10","Round 8"," Optus Stadium","West Coast","Essendon",71,77
2024-05-04,"19:30","Round 8"," MCG","Melbourne","Geelong",74,66
2024-05-05,"13:00","Round 8"," MCG","Richmond","Fremantle",49,103
2024-05-05,"16:00","Round 8"," Marvel Stadium","Western Bulldogs","Hawthorn",91,98
2024-05-05,"19:10","Round 8"," Gabba","Brisbane","Gold Coast",79,45
2024-05-09,"19:30","Round 9"," MCG","Carlton","Melbourne",77,76
2024-05-10,"18:30","Round 9"," Optus Stadium","Fremantle","Sydney",39,87
2024-05-10,"19:10","Round 9"," GMHBA Stadium","Geelong","Port Adelaide",95,101
2024-05-11,"13:45","Round 9"," UTAS Stadium","Hawthorn","St Kilda",58,53
2024-05-11,"16:35","Round 9"," Marvel Stadium","Essendon","GWS",82,62
2024-05-11,"19:00","Round 9"," TIO Stadium","Gold Coast","North Melbourne",120,52
2024-05-11,"19:30","Round 9"," MCG","Richmond","Western Bulldogs",42,133
2024-05-12,"13:00","Round 9"," Marvel Stadium","Collingwood","West Coast",103,37
2024-05-12,"15:30","Round 9"," Adelaide Oval","Adelaide","Brisbane",90,90
2024-05-16,"19:00","Round 10"," TIO Stadium","Gold Coast","Geelong",164,100
2024-05-17,"19:40","Round 10"," SCG","Sydney","Carlton",117,65
2024-05-18,"13:45","Round 10"," MCG","Collingwood","Adelaide",78,74
2024-05-18,"16:35","Round 10"," ENGIE Stadium","GWS","Western Bulldogs",43,70
2024-05-18,"19:30","Round 10"," Gabba","Brisbane","Richmond",163,44
2024-05-18,"19:30","Round 10"," Marvel Stadium","St Kilda","Fremantle",55,72
2024-05-19,"13:10","Round 10"," Marvel Stadium","Essendon","North Melbourne",106,66
2024-05-19,"14:50","Round 10"," Adelaide Oval","Port Adelaide","Hawthorn",80,79
2024-05-19,"16:20","Round 10"," Optus Stadium","West Coast","Melbourne",105,70
2024-05-23,"19:30","Round 11"," Marvel Stadium","Western Bulldogs","Sydney",88,102
2024-05-24,"18:10","Round 11"," Optus Stadium","Fremantle","Collingwood",75,75
2024-05-25,"13:45","Round 11"," Ninja Stadium","North Melbourne","Port Adelaide",48,107
2024-05-25,"13:45","Round 11"," Marvel Stadium","Carlton","Gold Coast",102,73
2024-05-25,"16:35","Round 11"," GMHBA Stadium","Geelong","GWS",74,78
2024-05-25,"19:40","Round 11"," MCG","Richmond","Essendon",74,86
2024-05-26,"13:10","Round 11"," Marvel Stadium","Hawthorn","Brisbane",100,75
2024-05-26,"15:20","Round 11"," MCG","Melbourne","St Kilda",100,62
2024-05-26,"16:10","Round 11"," Adelaide Oval","Adelaide","West Coast",137,38
2024-05-30,"19:00","Round 12"," Adelaide Oval","Port Adelaide","Carlton",71,107
2024-05-31,"19:40","Round 12"," Marvel Stadium","Collingwood","Western Bulldogs",82,100
2024-06-01,"13:45","Round 12"," MCG","Hawthorn","Adelaide",107,80
2024-06-01,"14:35","Round 12"," Optus Stadium","West Coast","St Kilda",68,82
2024-06-01,"19:30","Round 12"," GMHBA Stadium","Geelong","Richmond",99,69
2024-06-02,"12:30","Round 12"," TIO Traeger Park","Melbourne","Fremantle",49,141
2024-06-02,"16:00","Round 12"," People First Stadium","Gold Coast","Essendon",91,80
2024-06-06,"19:00","Round 13"," Adelaide Oval","Adelaide","Richmond",71,79
2024-06-07,"19:40","Round 13"," Marvel Stadium","Western Bulldogs","Brisbane",71,114
2024-06-08,"13:45","Round 13"," UTAS Stadium","Hawthorn","GWS",85,79
2024-06-08,"14:35","Round 13"," Optus Stadium","West Coast","North Melbourne",65,74
2024-06-08,"19:30","Round 13"," Marvel Stadium","St Kilda","Gold Coast",51,48
2024-06-09,"15:20","Round 13"," SCG","Sydney","Geelong",112,82
2024-06-09,"19:20","Round 13"," MCG","Essendon","Carlton",70,96
2024-06-10,"15:20","Round 13"," MCG","Collingwood","Melbourne",89,51
2024-06-14,"19:40","Round 14"," Gabba","Brisbane","St Kilda",126,106
2024-06-15,"13:45","Round 14"," Marvel Stadium","Western Bulldogs","Fremantle",149,82
2024-06-15,"16:35","Round 14"," MCG","Richmond","Hawthorn",49,97
2024-06-15,"19:00","Round 14"," Adelaide Oval","Adelaide","Sydney",67,109
2024-06-16,"13:00","Round 14"," Marvel Stadium","North Melbourne","Collingwood",118,119
2024-06-16,"16:00","Round 14"," ENGIE Stadium","GWS","Port Adelaide",73,51
2024-06-21,"19:40","Round 15"," MCG","Carlton","Geelong",138,75
2024-06-22,"13:15","Round 15"," Adelaide Oval","Port Adelaide","Brisbane",73,152
2024-06-22,"16:35","Round 15"," ENGIE Stadium","GWS","Sydney",75,102
2024-06-22,"19:30","Round 15"," MCG","Melbourne","North Melbourne",70,67
2024-06-23,"13:00","Round 15"," Marvel Stadium","Essendon","West Coast",122,92
2024-06-23,"14:00","Round 15"," Optus Stadium","Fremantle","Gold Coast",85,65
2024-06-28,"19:40","Round 16"," Gabba","Brisbane","Melbourne",86,81
2024-06-29,"13:45","Round 16"," SCG","Sydney","Fremantle",98,99
2024-06-29,"13:45","Round 16"," Marvel Stadium","North Melbourne","Western Bulldogs",60,77
2024-06-29,"16:35","Round 16"," People First Stadium","Gold Coast","Collingwood",101,90
2024-06-29,"19:00","Round 16"," Adelaide Oval","Adelaide","GWS",94,78
2024-06-29,"19:30","Round 16"," MCG","Geelong","Essendon",105,60
2024-06-30,"13:10","Round 16"," Marvel Stadium","St Kilda","Port Adelaide",60,62
2024-06-30,"14:40","Round 16"," Optus Stadium","West Coast","Hawthorn",33,94
2024-06-30,"15:20","Round 16"," MCG","Richmond","Carlton",70,131
2024-07-05,"19:40","Round 17"," MCG","Collingwood","Essendon",80,92
2024-07-06,"13:15","Round 17"," Adelaide Oval","Port Adelaide","Western Bulldogs",102,54
2024-07-06,"13:45","Round 17"," Marvel Stadium","North Melbourne","Gold Coast",87,83
2024-07-06,"16:35","Round 17"," GMHBA Stadium","Geelong","Hawthorn",110,59
2024-07-06,"18:10","Round 17"," Optus Stadium","Fremantle","Richmond",105,54
2024-07-06,"19:30","Round 17"," ENGIE Stadium","GWS","Carlton",116,104
2024-07-07,"13:10","Round 17"," MCG","Melbourne","West Coast",112,58
2024-07-07,"15:20","Round 17"," Marvel Stadium","St Kilda","Sydney",84,82
2024-07-07,"16:10","Round 17"," Gabba","Brisbane","Adelaide",97,86
2024-07-12,"19:40","Round 18"," MCG","Collingwood","Geelong",71,91
2024-07-13,"13:45","Round 18"," UTAS Stadium","Hawthorn","Fremantle",87,74
2024-07-13,"13:45","Round 18"," SCG","Sydney","North Melbourne",138,59
2024-07-13,"16:35","Round 18"," Marvel Stadium","Western Bulldogs","Carlton",100,86
2024-07-13,"19:00","Round 18"," Adelaide Oval","Adelaide","St Kilda",71,39
2024-07-13,"19:30","Round 18"," MCG","Melbourne","Essendon",84,67
2024-07-14,"13:10","Round 18"," People First Stadium","Gold Coast","Port Adelaide",96,82
2024-07-14,"14:40","Round 18"," Optus Stadium","West Coast","Brisbane",93,106
2024-07-14,"15:20","Round 18"," MCG","Richmond","GWS",84,108
2024-07-19,"19:40","Round 19"," Marvel Stadium","Essendon","Adelaide",113,115
2024-07-20,"13:45","Round 19"," Marvel Stadium","St Kilda","West Coast",113,41
2024-07-20,"13:45","Round 19"," ENGIE Stadium","GWS","Gold Coast",89,50
2024-07-20,"16:35","Round 19"," MCG","Hawthorn","Collingwood",133,67
2024-07-20,"19:00","Round 19"," Adelaide Oval","Port Adelaide","Richmond",116,75
2024-07-20,"19:30","Round 19"," GMHBA Stadium","Geelong","Western Bulldogs",48,95
2024-07-21,"13:10","Round 19"," Gabba","Brisbane","Sydney",79,77
2024-07-21,"13:20","Round 19"," Optus Stadium","Fremantle","Melbourne",116,66
2024-07-21,"16:40","Round 19"," Marvel Stadium","Carlton","North Melbourne",107,88
2024-07-26,"19:40","Round 20"," Marvel Stadium","Carlton","Port Adelaide",65,79
2024-07-27,"13:45","Round 20"," Ninja Stadium","North Melbourne","Geelong",66,106
2024-07-27,"16:35","Round 20"," Marvel Stadium","St Kilda","Essendon",108,55
2024-07-27,"16:35","Round 20"," People First Stadium","Gold Coast","Brisbane",65,93
2024-07-27,"18:10","Round 20"," Optus Stadium","Fremantle","West Coast",110,75
2024-07-27,"19:30","Round 20"," MCG","Melbourne","GWS",83,85
2024-07-28,"13:10","Round 20"," MCG","Collingwood","Richmond",93,67
2024-07-28,"15:20","Round 20"," SCG","Sydney","Western Bulldogs",48,87
2024-07-28,"15:40","Round 20"," Adelaide Oval","Adelaide","Hawthorn",58,124
2024-08-02,"18:30","Round 21"," Optus Stadium","West Coast","Gold Coast",97,87
2024-08-02,"19:15","Round 21"," Marvel Stadium","Western Bulldogs","Melbourne",110,59
2024-08-03,"13:45","Round 21"," Marvel Stadium","North Melbourne","Richmond",90,77
2024-08-03,"16:35","Round 21"," GMHBA Stadium","Geelong","Adelaide",90,85
2024-08-03,"19:00","Round 21"," Adelaide Oval","Port Adelaide","Sydney",148,36
2024-08-03,"19:30","Round 21"," MCG","Collingwood","Carlton",84,81
2024-08-04,"13:10","Round 21"," Manuka Oval","GWS","Hawthorn",84,82
2024-08-04,"15:20","Round 21"," MCG","Essendon","Fremantle",90,89
2024-08-04,"16:40","Round 21"," Marvel Stadium","St Kilda","Brisbane",39,124
2024-08-09,"19:40","Round 22"," SCG","Sydney","Collingwood",89,86
2024-08-10,"13:45","Round 22"," Ninja Stadium","North Melbourne","West Coast",97,102
2024-08-10,"13:45","Round 22"," Gabba","Brisbane","GWS",64,82
2024-08-10,"14:35","Round 22"," Optus Stadium","Fremantle","Geelong",62,73
2024-08-10,"19:30","Round 22"," MCG","Melbourne","Port Adelaide",51,53
2024-08-10,"19:30","Round 22"," Marvel Stadium","Essendon","Gold Coast",86,87
2024-08-11,"13:10","Round 22"," MCG","Carlton","Hawthorn",38,112
2024-08-11,"15:20","Round 22"," Marvel Stadium","Richmond","St Kilda",51,99
2024-08-11,"15:40","Round 22"," Adelaide Oval","Adelaide","Western Bulldogs",111,72
2024-08-16,"19:40","Round 23"," Marvel Stadium","Essendon","Sydney",59,98
2024-08-17,"13:45","Round 23"," ENGIE Stadium","GWS","Fremantle",101,92
2024-08-17,"13:45","Round 23"," People First Stadium","Gold Coast","Melbourne",63,117
2024-08-17,"16:35","Round 23"," MCG","Collingwood","Brisbane",79,78
2024-08-17,"19:00","Round 23"," Adelaide Oval","Port Adelaide","Adelaide",80,58
2024-08-17,"19:30","Round 23"," Marvel Stadium","St Kilda","Geelong",107,89
2024-08-18,"13:10","Round 23"," Marvel Stadium","Western Bulldogs","North Melbourne",138,42
2024-08-18,"14:40","Round 23"," Optus Stadium","West Coast","Carlton",34,99
2024-08-18,"15:20","Round 23"," MCG","Hawthorn","Richmond",131,68
2024-08-23,"19:40","Round 24"," MCG","Melbourne","Collingwood",57,103
2024-08-24,"12:30","Round 24"," UTAS Stadium","Hawthorn","North Melbourne",170,46
2024-08-24,"13:45","Round 24"," GMHBA Stadium","Geelong","West Coast",168,75
2024-08-24,"15:20","Round 24"," MCG","Richmond","Gold Coast",66,94
2024-08-24,"19:30","Round 24"," Gabba","Brisbane","Essendon",87,67
2024-08-24,"19:40","Round 24"," SCG","Sydney","Adelaide",121,90
2024-08-25,"12:30","Round 24"," Mars Stadium","Western Bulldogs","GWS",98,61
2024-08-25,"15:20","Round 24"," Marvel Stadium","Carlton","St Kilda",74,76
2024-08-25,"16:10","Round 24"," Optus Stadium","Fremantle","Port Adelaide",67,87
2024-09-05,"19:10","Qualifying Final"," Adelaide Oval","Port Adelaide","Geelong",54,138
2024-09-06,"19:40","Elimination Final"," MCG","Western Bulldogs","Hawthorn",62,99
2024-09-07,"15:20","Qualifying Final"," SCG","Sydney","GWS",88,82
2024-09-07,"19:30","Elimination Final"," Gabba","Brisbane","Carlton",99,71
2024-09-13,"19:10","Semi Final"," Adelaide Oval","Port Adelaide","Hawthorn",75,72
2024-09-14,"19:30","Semi Final"," ENGIE Stadium","GWS","Brisbane",100,105
2024-09-20,"19:40","Preliminary Final"," SCG","Sydney","Port Adelaide",95,59
2024-09-21,"17:15","Preliminary Final"," MCG","Geelong","Brisbane",85,95
2024-09-28,"14:30","Grand Final"," MCG","Sydney","Brisbane",60,120
