"Date","Time","Round","Venue","Home.Team","Away.Team","Home.Points","Away.Points"
2024-03-07,"19:30","Round 0"," SCG","Sydney","Melbourne",86,64
2024-03-08,"18:40","Round 0"," Gabba","Brisbane","Carlton",85,86
2024-03-09,"15:20","Round 0"," People First Stadium","Gold Coast","Richmond",99,60
2024-03-09,"19:30","Round 0"," ENGIE Stadium","GWS","Collingwood",114,82
2024-03-14,"19:30","Round 1"," MCG","Carlton","Richmond",86,81
2024-03-15,"19:40","Round 1"," MCG","Collingwood","Sydney",69,102
2024-03-16,"13:45","Round 1"," MCG","Essendon","Hawthorn",107,83
2024-03-16,"16:35","Round 1"," ENGIE Stadium","GWS","North Melbourne",121,82
2024-03-16,"19:10","Round 1"," People First Stadium","Gold Coast","Adelaide",60,54
2024-03-16,"19:30","Round 1"," GMHBA Stadium","Geelong","St Kilda",76,68
2024-03-17,"13:00","Round 1"," MCG","Melbourne","Western Bulldogs",109,64
2024-03-17,"15:30","Round 1"," Adelaide Oval","Port Adelaide","West Coast",120,70
2024-03-17,"15:50","Round 1"," Optus Stadium","Fremantle","Brisbane",93,70
2024-03-21,"19:30","Round 2"," MCG","St Kilda","Collingwood",94,79
2024-03-22,"19:10","Round 2"," Adelaide Oval","Adelaide","Geelong",77,96
2024-03-23,"13:45","Round 2"," Marvel Stadium","North Melbourne","Fremantle",76,102
2024-03-23,"16:35","Round 2"," MCG","Hawthorn","Melbourne",38,93
2024-03-23,"19:30","Round 2"," SCG","Sydney","Essendon",131,101
2024-03-24,"13:00","Round 2"," Mars Stadium","Western Bulldogs","Gold Coast",115,67
2024-03-24,"15:50","Round 2"," Optus Stadium","West Coast","GWS",43,108
2024-03-24,"16:00","Round 2"," MCG","Richmond","Port Adelaide",92,122
2024-03-28,"18:30","Round 3"," Gabba","Brisbane","Collingwood",72,92
2024-03-29,"16:20","Round 3"," Marvel Stadium","North Melbourne","Carlton",81,137
2024-03-29,"16:30","Round 3"," Optus Stadium","Fremantle","Adelaide",69,34
2024-03-30,"16:20","Round 3"," Marvel Stadium","Essendon","St Kilda",71,67
2024-03-30,"19:00","Round 3"," Adelaide Oval","Port Adelaide","Melbourne",89,96
2024-03-31,"13:00","Round 3"," Marvel Stadium","Western Bulldogs","West Coast",106,30
2024-03-31,"16:00","Round 3"," MCG","Richmond","Sydney",82,77
2024-04-01,"15:20","Round 3"," MCG","Hawthorn","Geelong",70,106
2024-04-04,"19:10","Round 4"," Adelaide Oval","Adelaide","Melbourne",63,78
2024-04-05,"16:40","Round 4"," Norwood Oval","Brisbane","North Melbourne",112,42
2024-04-05,"19:40","Round 4"," Adelaide Oval","Port Adelaide","Essendon",111,42
2024-04-06,"13:00","Round 4"," Adelaide Hills","West Coast","Sydney",78,104
2024-04-06,"15:50","Round 4"," Adelaide Oval","Fremantle","Carlton",63,73
2024-04-06,"19:40","Round 4"," Adelaide Oval","Western Bulldogs","Geelong",91,95
