"Date","Season","Round","Venue","Player","Team","Opposition","Status","Match_id","GA","CP","UP","ED","DE","CM","MI5","One.Percenters","BO","TOG","K","HB","D","M","G","B","T","HO","I50","CL","CG","R50","FF","FA","AF","SC","CCL","SCL","SI","MG","TO","ITC","T5"
2015-04-02,2015,"Round 1","MCG","Bryce Gibbs","Carlton","Richmond","Home",5964,0,9,17,13,50,1,1,0,1,73,15,11,26,4,1,1,4,0,3,4,6,3,0,2,96,82,2,2,8,466,6,3,0
2015-04-02,2015,"Round 1","MCG","Tom Bell","Carlton","Richmond","Home",5964,2,10,16,18,72,0,1,3,0,89,11,14,25,4,1,1,7,0,4,1,3,0,0,0,108,115,0,1,10,475,4,1,3
2015-04-02,2015,"Round 1","MCG","Sam Docherty","Carlton","Richmond","Home",5964,1,10,13,21,91.3,0,0,4,1,95,15,8,23,8,0,0,5,0,2,2,0,5,2,0,107,147,0,2,6,287,2,12,1
2015-04-02,2015,"Round 1","MCG","Chris Judd","Carlton","Richmond","Home",5964,4,11,10,15,71.4,0,1,1,1,79,16,5,21,5,0,0,6,0,7,6,3,3,2,2,93,108,4,2,8,474,5,2,1
2015-04-02,2015,"Round 1","MCG","Kade Simpson","Carlton","Richmond","Home",5964,0,5,17,16,76.2,0,0,0,2,73,13,8,21,8,1,0,2,0,1,0,1,2,4,0,97,103,0,0,4,269,4,5,0
2015-04-02,2015,"Round 1","MCG","Marc Murphy","Carlton","Richmond","Home",5964,0,9,12,14,66.7,0,0,0,0,81,9,12,21,2,0,0,2,0,2,4,3,1,2,0,67,64,1,3,10,227,4,0,0
2015-04-02,2015,"Round 1","MCG","Edward Curnow","Carlton","Richmond","Home",5964,0,10,10,15,78.9,1,0,2,0,89,6,13,19,4,0,0,5,0,0,2,2,2,1,1,74,83,0,2,6,118,3,6,0
2015-04-02,2015,"Round 1","MCG","Andrew Carrazzo","Carlton","Richmond","Home",5964,0,9,10,16,88.9,0,0,1,0,76,9,9,18,2,0,0,2,0,3,6,2,0,1,2,54,72,4,2,3,128,3,1,0
2015-04-02,2015,"Round 1","MCG","Andrejs Everitt","Carlton","Richmond","Home",5964,0,3,14,14,77.8,0,1,3,0,95,14,4,18,8,0,1,2,0,4,1,2,5,0,1,80,84,0,1,4,464,5,3,0
2015-04-02,2015,"Round 1","MCG","Christopher Yarran","Carlton","Richmond","Home",5964,1,5,12,14,77.8,0,1,0,3,86,14,4,18,3,0,0,2,0,2,0,4,4,2,3,60,84,0,0,5,259,4,5,0
2015-04-02,2015,"Round 1","MCG","Troy Menzel","Carlton","Richmond","Home",5964,0,7,10,11,64.7,0,1,0,1,83,12,5,17,3,2,1,3,0,1,1,3,0,1,0,81,87,1,0,5,325,3,4,1
2015-04-02,2015,"Round 1","MCG","Simon White","Carlton","Richmond","Home",5964,0,7,7,9,64.3,0,1,3,0,85,8,6,14,2,0,1,3,0,2,3,0,0,1,0,56,77,1,2,4,241,3,2,0
2015-04-02,2015,"Round 1","MCG","Patrick Cripps","Carlton","Richmond","Home",5964,0,5,9,9,64.3,1,0,0,0,76,4,10,14,3,0,0,3,1,1,1,0,2,0,0,54,53,0,1,2,16,3,1,0
