"Date","Time","Round","Venue","Home.Team","Away.Team","Home.Points","Away.Points"
2020-03-19,"19:40","Round 1"," MCG","Richmond","Carlton",105,81
2020-03-20,"19:50","Round 1"," Marvel Stadium","Western Bulldogs","Collingwood",34,86
2020-03-21,"14:10","Round 1"," Marvel Stadium","Essendon","Fremantle",63,57
2020-03-21,"16:35","Round 1"," Adelaide Oval","Adelaide","Sydney",71,74
2020-03-21,"18:40","Round 1"," People First Stadium","Gold Coast","Port Adelaide",29,76
2020-03-21,"19:40","Round 1"," ENGIE Stadium","GWS","Geelong",105,73
2020-03-22,"13:05","Round 1"," Marvel Stadium","North Melbourne","St Kilda",56,54
2020-03-22,"15:35","Round 1"," MCG","Hawthorn","Brisbane",90,62
2020-03-22,"15:40","Round 1"," Optus Stadium","West Coast","Melbourne",78,51
2020-06-11,"19:40","Round 2"," MCG","Collingwood","Richmond",36,36
2020-06-12,"19:50","Round 2"," GMHBA Stadium","Geelong","Hawthorn",108,47
2020-06-13,"13:45","Round 2"," Gabba","Brisbane","Fremantle",81,69
2020-06-13,"16:35","Round 2"," Marvel Stadium","Carlton","Melbourne",53,54
2020-06-13,"19:10","Round 2"," Adelaide Oval","Port Adelaide","Adelaide",110,35
2020-06-13,"19:40","Round 2"," People First Stadium","Gold Coast","West Coast",90,46
2020-06-14,"13:05","Round 2"," ENGIE Stadium","GWS","North Melbourne",60,80
2020-06-14,"15:35","Round 2"," SCG","Sydney","Essendon",73,79
2020-06-14,"18:05","Round 2"," Marvel Stadium","St Kilda","Western Bulldogs",88,49
2020-06-18,"19:40","Round 3"," MCG","Richmond","Hawthorn",39,71
2020-06-19,"19:50","Round 3"," Marvel Stadium","Western Bulldogs","GWS",57,33
2020-06-20,"13:45","Round 3"," Marvel Stadium","North Melbourne","Sydney",60,71
2020-06-20,"16:35","Round 3"," MCG","Collingwood","St Kilda",81,37
2020-06-20,"19:40","Round 3"," GMHBA Stadium","Geelong","Carlton",77,79
2020-06-20,"19:40","Round 3"," Gabba","Brisbane","West Coast",74,44
2020-06-21,"15:05","Round 3"," People First Stadium","Gold Coast","Adelaide",82,29
2020-06-21,"20:10","Round 3"," People First Stadium","Fremantle","Port Adelaide",41,70
2020-06-25,"19:40","Round 4"," SCG","Sydney","Western Bulldogs",39,67
2020-06-26,"19:50","Round 4"," ENGIE Stadium","GWS","Collingwood",66,64
2020-06-27,"13:45","Round 4"," People First Stadium","Port Adelaide","West Coast",89,41
2020-06-27,"16:35","Round 4"," Marvel Stadium","St Kilda","Richmond",93,67
2020-06-27,"19:40","Round 4"," People First Stadium","Gold Coast","Fremantle",64,51
2020-06-27,"19:40","Round 4"," MCG","Essendon","Carlton",51,52
2020-06-28,"13:05","Round 4"," Gabba","Brisbane","Adelaide",83,46
2020-06-28,"15:35","Round 4"," MCG","Melbourne","Geelong",44,47
2020-06-28,"18:10","Round 4"," Marvel Stadium","Hawthorn","North Melbourne",58,54
