"Date","Time","Round","Venue","Home.Team","Away.Team","Home.Points","Away.Points"
2017-07-07,"19:20","Round 16"," Adelaide Oval","Adelaide","Western Bulldogs",104,45
2017-07-08,"13:45","Round 16"," UTAS Stadium","Hawthorn","GWS",97,97
2017-07-08,"14:10","Round 16"," MCG","Collingwood","Essendon",80,117
2017-07-08,"16:35","Round 16"," SCG","Sydney","Gold Coast",118,51
2017-07-08,"19:25","Round 16"," Marvel Stadium","St Kilda","Richmond",138,71
2017-07-08,"19:25","Round 16"," Gabba","Brisbane","Geelong",78,163
2017-07-09,"13:10","Round 16"," Marvel Stadium","North Melbourne","Fremantle",82,86
2017-07-09,"14:40","Round 16"," Domain Stadium","West Coast","Port Adelaide",88,120
2017-07-09,"15:20","Round 16"," MCG","Carlton","Melbourne",82,90
2017-07-14,"19:50","Round 17"," Marvel Stadium","St Kilda","Essendon",57,118
2017-07-15,"13:40","Round 17"," Adelaide Oval","Port Adelaide","North Melbourne",127,57
2017-07-15,"13:45","Round 17"," MCG","Geelong","Hawthorn",88,85
2017-07-15,"16:35","Round 17"," People First Stadium","Gold Coast","Collingwood",88,103
2017-07-15,"19:10","Round 17"," TIO Stadium","Melbourne","Adelaide",70,116
2017-07-15,"19:25","Round 17"," ENGIE Stadium","GWS","Sydney",83,96
2017-07-16,"13:10","Round 17"," Marvel Stadium","Richmond","Brisbane",112,81
2017-07-16,"14:40","Round 17"," Domain Stadium","Fremantle","West Coast",44,74
2017-07-16,"15:20","Round 17"," MCG","Carlton","Western Bulldogs",62,82
2017-07-21,"19:20","Round 18"," Adelaide Oval","Adelaide","Geelong",91,70
2017-07-22,"13:45","Round 18"," Marvel Stadium","Essendon","North Melbourne",132,105
2017-07-22,"14:10","Round 18"," MCG","Melbourne","Port Adelaide",88,65
2017-07-22,"16:35","Round 18"," Cazaly's Stadium","Western Bulldogs","Gold Coast",110,56
2017-07-22,"17:40","Round 18"," Domain Stadium","Fremantle","Hawthorn",48,100
2017-07-22,"19:25","Round 18"," SCG","Sydney","St Kilda",101,59
2017-07-23,"13:10","Round 18"," MCG","Richmond","GWS",64,45
2017-07-23,"15:20","Round 18"," Marvel Stadium","Collingwood","West Coast",93,85
2017-07-23,"16:40","Round 18"," Gabba","Brisbane","Carlton",112,82
2017-07-28,"19:50","Round 19"," MCG","Hawthorn","Sydney",72,66
2017-07-29,"13:45","Round 19"," Ninja Stadium","North Melbourne","Melbourne",76,72
2017-07-29,"14:10","Round 19"," ENGIE Stadium","GWS","Fremantle",98,86
2017-07-29,"16:05","Round 19"," Adelaide Oval","Port Adelaide","St Kilda",63,61
2017-07-29,"19:25","Round 19"," People First Stadium","Gold Coast","Richmond",65,98
2017-07-29,"19:25","Round 19"," Marvel Stadium","Carlton","Geelong",58,123
2017-07-30,"13:10","Round 19"," Marvel Stadium","Western Bulldogs","Essendon",127,97
2017-07-30,"14:40","Round 19"," Domain Stadium","West Coast","Brisbane",113,45
2017-07-30,"15:20","Round 19"," MCG","Collingwood","Adelaide",103,103
2017-08-04,"19:50","Round 20"," GMHBA Stadium","Geelong","Sydney",61,107
2017-08-05,"13:45","Round 20"," Manuka Oval","GWS","Melbourne",97,62
2017-08-05,"14:10","Round 20"," MCG","Essendon","Carlton",84,76
2017-08-05,"16:35","Round 20"," Gabba","Brisbane","Western Bulldogs",89,103
2017-08-05,"17:40","Round 20"," Domain Stadium","Fremantle","Gold Coast",90,67
2017-08-05,"19:25","Round 20"," Marvel Stadium","North Melbourne","Collingwood",57,111
2017-08-06,"13:10","Round 20"," Marvel Stadium","St Kilda","West Coast",103,95
2017-08-06,"15:20","Round 20"," MCG","Richmond","Hawthorn",93,64
2017-08-06,"16:10","Round 20"," Adelaide Oval","Adelaide","Port Adelaide",130,46
2017-08-11,"19:50","Round 21"," Marvel Stadium","Western Bulldogs","GWS",57,105
2017-08-12,"13:45","Round 21"," SCG","Sydney","Fremantle",143,39
2017-08-12,"14:10","Round 21"," GMHBA Stadium","Geelong","Richmond",80,66
2017-08-12,"16:35","Round 21"," Gabba","Brisbane","Gold Coast",142,84
2017-08-12,"17:40","Round 21"," Domain Stadium","West Coast","Carlton",100,83
2017-08-12,"19:25","Round 21"," Marvel Stadium","Essendon","Adelaide",80,123
2017-08-13,"13:10","Round 21"," MCG","Melbourne","St Kilda",96,72
2017-08-13,"15:20","Round 21"," UTAS Stadium","Hawthorn","North Melbourne",116,89
2017-08-13,"16:10","Round 21"," Adelaide Oval","Port Adelaide","Collingwood",98,71
2017-08-18,"19:20","Round 22"," Adelaide Oval","Adelaide","Sydney",80,83
2017-08-19,"13:45","Round 22"," Mars Stadium","Western Bulldogs","Port Adelaide",79,96
2017-08-19,"14:10","Round 22"," MCG","Collingwood","Geelong",59,70
2017-08-19,"16:35","Round 22"," ENGIE Stadium","GWS","West Coast",81,60
2017-08-19,"19:25","Round 22"," People First Stadium","Gold Coast","Essendon",57,90
2017-08-19,"19:25","Round 22"," Marvel Stadium","Carlton","Hawthorn",77,70
2017-08-20,"13:10","Round 22"," MCG","Melbourne","Brisbane",104,91
2017-08-20,"14:40","Round 22"," Domain Stadium","Fremantle","Richmond",51,155
2017-08-20,"15:20","Round 22"," Marvel Stadium","St Kilda","North Melbourne",127,78
2017-08-25,"19:50","Round 23"," Marvel Stadium","Hawthorn","Western Bulldogs",99,90
2017-08-26,"13:45","Round 23"," MCG","Collingwood","Melbourne",99,83
2017-08-26,"14:10","Round 23"," Gabba","Brisbane","North Melbourne",79,130
2017-08-26,"16:35","Round 23"," SCG","Sydney","Carlton",138,57
2017-08-26,"19:10","Round 23"," Adelaide Oval","Port Adelaide","Gold Coast",135,20
2017-08-26,"19:25","Round 23"," GMHBA Stadium","Geelong","GWS",103,59
2017-08-27,"13:10","Round 23"," Marvel Stadium","Essendon","Fremantle",107,92
2017-08-27,"14:40","Round 23"," Domain Stadium","West Coast","Adelaide",100,71
2017-08-27,"15:20","Round 23"," MCG","Richmond","St Kilda",122,81
2017-09-07,"19:20","Qualifying Final"," Adelaide Oval","Adelaide","GWS",84,48
2017-09-08,"19:50","Qualifying Final"," MCG","Geelong","Richmond",40,91
2017-09-09,"16:20","Elimination Final"," SCG","Sydney","Essendon",121,56
2017-09-09,"19:20","Elimination Final"," Adelaide Oval","Port Adelaide","West Coast",76,78
2017-09-15,"19:50","Semi Final"," MCG","Geelong","Sydney",98,39
2017-09-16,"19:25","Semi Final"," ENGIE Stadium","GWS","West Coast",125,58
2017-09-22,"19:20","Preliminary Final"," Adelaide Oval","Adelaide","Geelong",136,75
2017-09-23,"16:45","Preliminary Final"," MCG","Richmond","GWS",103,67
2017-09-30,"14:30","Grand Final"," MCG","Adelaide","Richmond",60,108
