"Date","Season","Round","Venue","Player","Team","Opposition","Status","Match_id","GA","CP","UP","ED","DE","CM","MI5","One.Percenters","BO","TOG","K","HB","D","M","G","B","T","HO","I50","CL","CG","R50","FF","FA","AF","SC","CCL","SCL","SI","MG","TO","ITC","T5"
2018-03-22,2018,"Round 1","MCG","Dustin Martin","Richmond","Carlton","Home",9514,2,17,15,23,71.9,2,2,1,0,87,20,12,32,5,1,3,1,0,6,6,3,0,1,1,110,139,4,2,13,567,5,2,0
2018-03-22,2018,"Round 1","MCG","Trent Cotchin","Richmond","Carlton","Home",9514,2,13,12,15,62.5,0,1,1,0,81,14,10,24,2,0,0,4,0,5,7,2,0,2,0,86,94,2,5,10,293,5,3,1
2018-03-22,2018,"Round 1","MCG","Josh Caddy","Richmond","Carlton","Home",9514,0,11,10,14,73.7,1,2,0,1,80,13,6,19,5,3,2,2,0,8,4,2,0,5,0,99,84,3,1,6,424,2,1,0
2018-03-22,2018,"Round 1","MCG","Kamdyn McIntosh","Richmond","Carlton","Home",9514,0,3,15,11,57.9,0,1,1,1,69,19,0,19,5,0,1,1,0,8,1,5,3,0,1,74,50,1,0,7,644,5,4,0
2018-03-22,2018,"Round 1","MCG","Jack Riewoldt","Richmond","Carlton","Home",9514,2,5,14,12,66.7,1,5,1,0,96,12,6,18,7,4,2,1,0,6,0,2,0,1,0,100,101,0,0,13,322,3,1,0
2018-03-22,2018,"Round 1","MCG","Brandon Ellis","Richmond","Carlton","Home",9514,0,3,14,13,72.2,0,0,0,2,79,11,7,18,3,0,1,3,0,4,0,5,2,0,0,69,51,0,0,6,417,5,5,0
2018-03-22,2018,"Round 1","MCG","Shaun Grigg","Richmond","Carlton","Home",9514,1,2,15,12,70.6,0,0,1,0,83,7,10,17,4,0,1,2,0,2,2,4,0,0,1,59,45,0,2,7,197,3,1,0
2018-03-22,2018,"Round 1","MCG","Shane Edwards","Richmond","Carlton","Home",9514,0,9,7,14,87.5,1,0,2,0,75,5,11,16,3,0,0,4,0,4,2,1,3,0,0,62,79,0,2,5,270,4,6,0
2018-03-22,2018,"Round 1","MCG","David Astbury","Richmond","Carlton","Home",9514,0,9,8,15,93.8,3,0,4,0,100,9,7,16,7,0,0,2,0,0,1,2,5,1,1,68,104,0,1,7,330,2,8,0
2018-03-22,2018,"Round 1","MCG","Reece Conca","Richmond","Carlton","Home",9514,0,6,10,10,62.5,0,0,1,1,77,9,7,16,0,0,0,7,0,6,2,7,2,0,2,63,64,1,1,5,334,5,4,1
2018-03-22,2018,"Round 1","MCG","Jayden Short","Richmond","Carlton","Home",9514,1,4,12,13,81.2,0,0,1,4,79,12,4,16,2,0,1,1,0,4,1,1,2,0,1,52,76,0,1,4,419,2,3,0
2018-03-22,2018,"Round 1","MCG","Alex Rance","Richmond","Carlton","Home",9514,0,8,5,12,80,1,0,6,2,100,9,6,15,3,0,0,1,0,0,0,2,5,3,0,55,83,0,0,4,327,4,10,0
2018-03-22,2018,"Round 1","MCG","Jason Castagna","Richmond","Carlton","Home",9514,1,7,8,14,93.3,0,2,2,0,76,7,8,15,4,2,1,4,0,3,3,0,0,1,0,79,97,2,1,9,251,2,1,3
2018-03-22,2018,"Round 1","MCG","Toby Nankervis","Richmond","Carlton","Home",9514,0,12,4,8,57.1,0,0,3,0,86,7,7,14,2,0,0,5,33,1,5,5,1,2,5,81,95,2,3,4,65,0,2,1
2018-03-22,2018,"Round 1","MCG","Kane Lambert","Richmond","Carlton","Home",9514,1,6,6,11,78.6,0,0,1,0,85,7,7,14,1,0,0,2,0,2,3,1,1,1,0,47,71,2,1,6,181,1,1,1
2018-03-22,2018,"Round 1","MCG","Daniel Butler","Richmond","Carlton","Home",9514,2,7,6,10,76.9,0,1,1,2,76,10,3,13,2,3,0,7,0,6,0,3,0,3,1,88,109,0,0,9,344,3,4,2
2018-03-22,2018,"Round 1","MCG","Jack Graham","Richmond","Carlton","Home",9514,1,9,6,10,76.9,0,0,0,0,69,7,6,13,0,0,1,13,0,2,2,0,1,1,0,87,100,1,1,4,135,0,2,1
2018-03-22,2018,"Round 1","MCG","Nick Vlastuin","Richmond","Carlton","Home",9514,0,3,7,8,66.7,1,0,4,0,80,10,2,12,3,0,0,3,0,2,0,3,2,1,3,47,54,0,0,4,257,1,6,0
2018-03-22,2018,"Round 1","MCG","Corey Ellis","Richmond","Carlton","Home",9514,1,7,6,8,66.7,0,0,5,1,72,6,6,12,2,0,0,4,0,1,1,2,1,0,0,52,59,0,1,2,174,3,5,0
2018-03-22,2018,"Round 1","MCG","Jacob Townsend","Richmond","Carlton","Home",9514,0,6,3,6,66.7,2,5,1,0,90,6,3,9,5,4,2,1,0,0,0,2,0,0,1,66,78,0,0,7,166,2,0,1
2018-03-22,2018,"Round 1","MCG","Dylan Grimes","Richmond","Carlton","Home",9514,0,3,2,3,50,1,0,3,0,84,4,2,6,1,0,0,2,0,0,0,1,1,0,0,27,28,0,0,0,118,3,5,0
2018-03-22,2018,"Round 1","MCG","Shai Bolton","Richmond","Carlton","Home",9514,0,3,3,5,83.3,0,0,1,0,77,3,3,6,2,0,0,0,1,1,1,3,0,0,3,13,20,0,1,3,93,1,0,0
2018-03-22,2018,"Round 1","MCG","Patrick Cripps","Carlton","Richmond","Away",9514,1,25,11,24,66.7,4,0,0,0,94,13,23,36,5,0,1,7,0,5,9,7,3,4,1,130,130,4,5,4,281,8,2,1
2018-03-22,2018,"Round 1","MCG","Kade Simpson","Carlton","Richmond","Away",9514,0,10,21,30,85.7,2,0,2,5,91,24,11,35,6,0,0,4,0,2,1,3,10,1,0,129,150,0,1,8,903,6,9,0
2018-03-22,2018,"Round 1","MCG","Edward Curnow","Carlton","Richmond","Away",9514,0,15,15,21,72.4,1,0,0,0,86,15,14,29,2,0,0,4,0,6,7,6,4,2,3,88,95,1,6,6,438,5,0,0
2018-03-22,2018,"Round 1","MCG","Dale Thomas","Carlton","Richmond","Away",9514,0,10,15,17,70.8,0,0,1,0,83,10,14,24,5,0,0,1,0,3,3,3,3,0,1,74,73,0,3,0,262,3,5,0
2018-03-22,2018,"Round 1","MCG","Marc Murphy","Carlton","Richmond","Away",9514,1,8,15,16,69.6,0,0,0,1,89,10,13,23,3,0,0,1,0,2,6,3,1,2,1,68,61,2,4,6,370,7,1,0
2018-03-22,2018,"Round 1","MCG","Zac Fisher","Carlton","Richmond","Away",9514,1,8,15,17,81,0,0,4,0,81,13,8,21,2,1,0,1,0,5,3,3,2,1,0,72,93,3,0,8,377,2,1,0
2018-03-22,2018,"Round 1","MCG","Caleb Marchbank","Carlton","Richmond","Away",9514,0,6,14,16,84.2,1,0,8,0,86,13,6,19,6,0,0,4,0,3,0,1,5,1,0,86,105,0,0,2,411,4,6,0
