"Date","Season","Round","Venue","Player","Team","Opposition","Status","Match_id","GA","CP","UP","ED","DE","CM","MI5","One.Percenters","BO","TOG","K","HB","D","M","G","B","T","HO","I50","CL","CG","R50","FF","FA","AF","SC","CCL","SCL","SI","MG","TO","ITC","T5"
2021-03-18,2021,"Round 1","MCG","Jack Graham","Richmond","Carlton","Home",10327,1,8,26,26,78.8,0,0,0,0,76,22,11,33,5,0,1,3,0,11,5,4,1,2,1,115,120,2,3,7,836,7,2,0
2021-03-18,2021,"Round 1","MCG","Dustin Martin","Richmond","Carlton","Home",10327,4,14,16,21,67.7,2,5,2,0,89,19,12,31,7,2,2,4,0,8,5,2,0,2,1,131,158,2,3,12,619,4,2,0
2021-03-18,2021,"Round 1","MCG","Kane Lambert","Richmond","Carlton","Home",10327,1,6,20,18,64.3,0,2,0,0,85,13,15,28,6,0,1,1,0,4,1,6,1,0,2,86,67,0,1,8,339,6,1,0
2021-03-18,2021,"Round 1","MCG","Shane Edwards","Richmond","Carlton","Home",10327,1,12,13,21,77.8,0,0,3,0,81,11,16,27,2,0,0,3,0,3,3,1,1,1,0,84,111,1,2,8,283,2,10,0
2021-03-18,2021,"Round 1","MCG","Dion Prestia","Richmond","Carlton","Home",10327,0,12,13,17,68,0,0,1,1,74,12,13,25,3,0,1,4,0,1,9,5,4,2,1,87,82,3,6,9,380,5,2,0
2021-03-18,2021,"Round 1","MCG","Shai Bolton","Richmond","Carlton","Home",10327,1,14,10,16,64,0,0,0,2,79,13,12,25,2,1,1,1,0,8,9,4,0,0,1,77,85,6,3,7,554,3,0,0
2021-03-18,2021,"Round 1","MCG","Jayden Short","Richmond","Carlton","Home",10327,0,2,12,18,78.3,1,0,2,0,88,21,2,23,5,0,0,3,0,4,0,2,9,0,0,94,100,0,0,3,716,2,2,0
2021-03-18,2021,"Round 1","MCG","Josh Caddy","Richmond","Carlton","Home",10327,0,4,13,11,64.7,0,0,2,0,79,12,5,17,4,1,1,2,0,3,0,3,2,0,0,73,76,0,0,3,449,4,2,0
2021-03-18,2021,"Round 1","MCG","Liam Baker","Richmond","Carlton","Home",10327,1,6,9,11,73.3,0,0,3,1,78,4,11,15,0,0,0,0,0,4,0,6,1,0,3,25,48,0,0,2,185,4,5,0
2021-03-18,2021,"Round 1","MCG","Kamdyn McIntosh","Richmond","Carlton","Home",10327,0,10,5,8,61.5,0,0,4,4,88,8,5,13,3,0,0,1,0,3,2,4,3,3,1,47,56,0,2,2,454,3,6,0
2021-03-18,2021,"Round 1","MCG","Jason Castagna","Richmond","Carlton","Home",10327,0,2,9,7,53.8,0,2,3,2,84,8,5,13,4,2,2,0,0,2,0,0,0,0,0,60,54,0,0,4,188,3,0,0
2021-03-18,2021,"Round 1","MCG","Marlion Pickett","Richmond","Carlton","Home",10327,0,8,7,9,69.2,0,0,5,0,79,7,6,13,5,0,0,3,0,4,0,6,3,0,3,51,57,0,0,1,276,3,7,0
2021-03-18,2021,"Round 1","MCG","Toby Nankervis","Richmond","Carlton","Home",10327,0,6,5,7,58.3,0,0,7,0,75,4,8,12,0,0,0,1,26,1,3,2,0,0,1,55,76,2,1,4,84,3,2,0
2021-03-18,2021,"Round 1","MCG","Jake Aarts","Richmond","Carlton","Home",10327,0,4,8,11,91.7,0,0,1,1,78,7,5,12,2,2,0,2,0,3,0,4,0,0,3,48,67,0,0,6,172,1,1,2
2021-03-18,2021,"Round 1","MCG","Tom Lynch","Richmond","Carlton","Home",10327,0,4,7,6,54.5,0,2,2,0,92,6,5,11,4,1,1,0,1,2,0,4,0,0,2,42,43,0,0,4,183,5,0,0
2021-03-18,2021,"Round 1","MCG","Nick Vlastuin  ↗","Richmond","Carlton","Home",10327,0,3,4,9,81.8,1,0,2,0,56,6,5,11,2,0,0,1,0,0,0,2,2,0,1,35,39,0,0,1,259,3,5,0
2021-03-18,2021,"Round 1","MCG","Noah Balta","Richmond","Carlton","Home",10327,0,6,6,8,72.7,2,0,6,0,84,10,1,11,4,0,1,1,3,3,2,2,0,0,1,49,75,2,0,4,319,2,7,0
2021-03-18,2021,"Round 1","MCG","Jack Riewoldt","Richmond","Carlton","Home",10327,0,6,4,6,60,1,3,0,0,90,9,1,10,4,4,2,5,0,3,0,3,0,1,1,85,93,0,0,8,349,2,2,3
