"Date","Time","Round","Venue","Home.Team","Away.Team","Home.Points","Away.Points"
2025-04-03,"19:30","Round 4"," MCG","Collingwood","Carlton",63,46
2025-04-04,"19:40","Round 4"," GMHBA Stadium","Geelong","Melbourne",85,46
2025-04-05,"12:20","Round 4"," People First Stadium","Gold Coast","Adelaide",91,90
2025-04-05,"16:15","Round 4"," MCG","Richmond","Brisbane",90,118
2025-04-05,"19:35","Round 4"," Marvel Stadium","North Melbourne","Sydney",52,117
2025-04-06,"13:10","Round 4"," ENGIE Stadium","GWS","West Coast",132,51
2025-04-06,"14:50","Round 4"," Adelaide Oval","Port Adelaide","St Kilda",72,89
2025-04-06,"15:10","Round 4"," Optus Stadium","Fremantle","Western Bulldogs",97,81
2025-04-10,"19:10","Round 5"," Adelaide Oval","Adelaide","Geelong",100,119
2025-04-11,"19:10","Round 5"," Adelaide Oval","Collingwood","Sydney",109,78
2025-04-12,"12:05","Round 5"," Barossa Park","North Melbourne","Gold Coast",89,141
2025-04-12,"12:50","Round 5"," Adelaide Oval","Carlton","West Coast",121,50
2025-04-12,"15:45","Round 5"," Norwood Oval","Western Bulldogs","Brisbane",97,118
2025-04-12,"19:05","Round 5"," Adelaide Oval","Melbourne","Essendon",57,96
2025-04-13,"12:05","Round 5"," Barossa Park","Richmond","Fremantle",47,108
2025-04-13,"14:50","Round 5"," Norwood Oval","St Kilda","GWS",82,110
2025-04-13,"18:50","Round 5"," Adelaide Oval","Port Adelaide","Hawthorn",121,91
2025-04-17,"19:30","Round 6"," Gabba","Brisbane","Collingwood",53,105
2025-04-18,"15:20","Round 6"," Marvel Stadium","North Melbourne","Carlton",71,153
2025-04-18,"16:10","Round 6"," Optus Stadium","West Coast","Essendon",75,77
2025-04-19,"13:20","Round 6"," MCG","Melbourne","Fremantle",107,97
2025-04-19,"15:45","Round 6"," Adelaide Oval","Adelaide","GWS",52,34
2025-04-19,"19:35","Round 6"," Marvel Stadium","Richmond","Gold Coast",80,69
2025-04-20,"15:20","Round 6"," SCG","Sydney","Port Adelaide",77,85
2025-04-20,"19:20","Round 6"," Marvel Stadium","Western Bulldogs","St Kilda",127,56
2025-04-21,"15:20","Round 6"," MCG","Geelong","Hawthorn",86,79
2025-04-24,"19:30","Round 7"," MCG","Melbourne","Richmond",83,63
2025-04-25,"15:20","Round 7"," MCG","Collingwood","Essendon",107,66
2025-04-25,"18:10","Round 7"," Optus Stadium","Fremantle","Adelaide",85,67
2025-04-26,"13:20","Round 7"," Marvel Stadium","St Kilda","Brisbane",73,118
2025-04-26,"15:45","Round 7"," Adelaide Oval","Port Adelaide","North Melbourne",97,88
2025-04-26,"19:35","Round 7"," Manuka Oval","GWS","Western Bulldogs",81,113
2025-04-27,"13:15","Round 7"," People First Stadium","Gold Coast","Sydney",117,79
2025-04-27,"15:20","Round 7"," MCG","Carlton","Geelong",94,76
2025-04-27,"16:45","Round 7"," Marvel Stadium","Hawthorn","West Coast",124,74
2025-05-01,"19:30","Round 8"," Marvel Stadium","Essendon","North Melbourne",65,62
2025-05-02,"19:40","Round 8"," Marvel Stadium","St Kilda","Fremantle",94,33
2025-05-03,"13:20","Round 8"," Mars Stadium","Western Bulldogs","Port Adelaide",131,41
2025-05-03,"15:45","Round 8"," Adelaide Oval","Adelaide","Carlton",110,50
2025-05-03,"17:35","Round 8"," Optus Stadium","West Coast","Melbourne",76,108
2025-05-03,"19:35","Round 8"," MCG","Collingwood","Geelong",87,90
2025-05-04,"13:10","Round 8"," SCG","Sydney","GWS",87,73
2025-05-04,"15:20","Round 8"," MCG","Hawthorn","Richmond",109,44
2025-05-04,"19:20","Round 8"," Gabba","Brisbane","Gold Coast",66,49
2025-05-08,"18:10","Round 9"," Optus Stadium","Fremantle","Collingwood",83,97
2025-05-09,"19:40","Round 9"," MCG","St Kilda","Carlton",62,77
2025-05-10,"13:20","Round 9"," MCG","Melbourne","Hawthorn",56,91
2025-05-10,"16:15","Round 9"," Marvel Stadium","Essendon","Sydney",71,63
2025-05-10,"19:05","Round 9"," TIO Stadium","Gold Coast","Western Bulldogs",106,96
2025-05-10,"19:40","Round 9"," Adelaide Oval","Port Adelaide","Adelaide",84,89
2025-05-11,"13:10","Round 9"," MCG","Richmond","West Coast",81,79
2025-05-11,"15:20","Round 9"," GMHBA Stadium","Geelong","GWS",101,105
2025-05-11,"16:40","Round 9"," Ninja Stadium","North Melbourne","Brisbane",71,71
2025-05-15,"19:00","Round 10"," TIO Stadium","Gold Coast","Hawthorn",104,96
2025-05-16,"19:40","Round 10"," SCG","Sydney","Carlton",78,62
2025-05-17,"13:20","Round 10"," MCG","Collingwood","Adelaide",78,68
2025-05-17,"15:45","Round 10"," Adelaide Oval","Port Adelaide","Geelong",39,115
2025-05-17,"16:15","Round 10"," ENGIE Stadium","GWS","Fremantle",61,95
2025-05-17,"19:35","Round 10"," Marvel Stadium","Western Bulldogs","Essendon",127,36
2025-05-18,"13:10","Round 10"," MCG","Richmond","North Melbourne",74,78
2025-05-18,"14:40","Round 10"," Optus Stadium","West Coast","St Kilda",108,80
2025-05-18,"15:20","Round 10"," Gabba","Brisbane","Melbourne",88,99
2025-05-22,"19:30","Round 11"," GMHBA Stadium","Geelong","Western Bulldogs",127,113
2025-05-23,"19:40","Round 11"," MCG","Essendon","Richmond",81,58
2025-05-24,"12:35","Round 11"," Marvel Stadium","Carlton","GWS",82,110
2025-05-24,"16:15","Round 11"," MCG","Hawthorn","Brisbane",60,93
2025-05-24,"18:10","Round 11"," Optus Stadium","Fremantle","Port Adelaide",100,51
2025-05-24,"19:35","Round 11"," Marvel Stadium","North Melbourne","Collingwood",63,108
2025-05-25,"12:40","Round 11"," Adelaide Oval","Adelaide","West Coast",128,62
2025-05-25,"15:20","Round 11"," MCG","Melbourne","Sydney",131,78
2025-05-25,"16:40","Round 11"," Marvel Stadium","St Kilda","Gold Coast",61,80
2025-05-29,"19:30","Round 12"," Gabba","Brisbane","Essendon",90,72
2025-05-30,"19:40","Round 12"," MCG","Collingwood","Hawthorn",107,56
2025-05-31,"13:20","Round 12"," People First Stadium","Gold Coast","Fremantle",64,75
2025-05-31,"16:15","Round 12"," ENGIE Stadium","GWS","Richmond",80,77
2025-05-31,"19:35","Round 12"," SCG","Sydney","Adelaide",41,131
2025-06-01,"14:50","Round 12"," TIO Traeger Park","Melbourne","St Kilda",63,91
2025-06-01,"17:20","Round 12"," Optus Stadium","West Coast","Geelong",73,116
2025-06-05,"19:30","Round 13"," Marvel Stadium","Western Bulldogs","Hawthorn",59,81
2025-06-06,"19:10","Round 13"," Adelaide Oval","Adelaide","Brisbane",68,63
2025-06-07,"13:20","Round 13"," MCG","Richmond","Sydney",36,80
2025-06-07,"16:15","Round 13"," GMHBA Stadium","Geelong","Gold Coast",61,37
2025-06-07,"19:35","Round 13"," Manuka Oval","GWS","Port Adelaide",50,66
2025-06-08,"13:20","Round 13"," Hands Oval","North Melbourne","West Coast",62,52
2025-06-08,"19:20","Round 13"," MCG","Carlton","Essendon",78,70
2025-06-09,"15:20","Round 13"," MCG","Melbourne","Collingwood",71,72
2025-06-12,"19:30","Round 14"," Marvel Stadium","St Kilda","Western Bulldogs",60,132
2025-06-13,"19:40","Round 14"," UTAS Stadium","Hawthorn","Adelaide",47,44
2025-06-14,"13:20","Round 14"," Gabba","Brisbane","GWS",96,107
2025-06-14,"16:15","Round 14"," MCG","Essendon","Geelong",56,151
2025-06-14,"17:35","Round 14"," Optus Stadium","North Melbourne","Fremantle",67,73
2025-06-15,"14:50","Round 14"," Adelaide Oval","Port Adelaide","Melbourne",93,68
2025-06-15,"16:10","Round 14"," Optus Stadium","West Coast","Carlton",52,86
2025-06-19,"18:10","Round 15"," Optus Stadium","Fremantle","Essendon",104,63
2025-06-20,"19:40","Round 15"," GMHBA Stadium","Geelong","Brisbane",51,92
2025-06-21,"13:20","Round 15"," MCG","Carlton","North Melbourne",73,84
2025-06-21,"15:45","Round 15"," Adelaide Oval","Port Adelaide","Sydney",52,71
2025-06-21,"19:35","Round 15"," Marvel Stadium","Collingwood","St Kilda",108,74
2025-06-22,"13:10","Round 15"," ENGIE Stadium","GWS","Gold Coast",106,99
2025-06-22,"15:20","Round 15"," Marvel Stadium","Western Bulldogs","Richmond",135,56
2025-06-26,"19:00","Round 16"," Adelaide Oval","Port Adelaide","Carlton",110,60
2025-06-27,"19:40","Round 16"," SCG","Sydney","Western Bulldogs",96,105
2025-06-28,"13:20","Round 16"," People First Stadium","Gold Coast","Melbourne",104,85
2025-06-28,"16:15","Round 16"," UTAS Stadium","Hawthorn","North Melbourne",150,65
2025-06-28,"19:35","Round 16"," Marvel Stadium","Collingwood","West Coast",88,59
2025-06-29,"15:10","Round 16"," Optus Stadium","Fremantle","St Kilda",81,69
2025-06-29,"15:15","Round 16"," MCG","Richmond","Adelaide",54,122
2025-07-03,"19:30","Round 17"," Marvel Stadium","North Melbourne","Western Bulldogs",85,134
2025-07-04,"18:20","Round 17"," Optus Stadium","West Coast","GWS",52,111
2025-07-04,"19:20","Round 17"," MCG","Carlton","Collingwood",59,115
2025-07-05,"12:35","Round 17"," Marvel Stadium","Essendon","Gold Coast",74,115
2025-07-05,"16:15","Round 17"," GMHBA Stadium","Geelong","Richmond",124,52
2025-07-05,"19:35","Round 17"," Gabba","Brisbane","Port Adelaide",120,92
2025-07-05,"19:40","Round 17"," Marvel Stadium","St Kilda","Hawthorn",74,94
2025-07-06,"13:10","Round 17"," SCG","Sydney","Fremantle",94,83
2025-07-06,"14:45","Round 17"," Adelaide Oval","Adelaide","Melbourne",90,77
2025-07-10,"19:30","Round 18"," Marvel Stadium","Carlton","Brisbane",66,103
2025-07-11,"19:40","Round 18"," People First Stadium","Gold Coast","Collingwood",69,63
2025-07-12,"13:20","Round 18"," Marvel Stadium","Western Bulldogs","Adelaide",98,109
2025-07-12,"16:15","Round 18"," ENGIE Stadium","GWS","Geelong",111,85
2025-07-12,"18:10","Round 18"," Optus Stadium","Fremantle","Hawthorn",77,64
2025-07-12,"19:35","Round 18"," MCG","Richmond","Essendon",46,37
2025-07-13,"13:10","Round 18"," MCG","Melbourne","North Melbourne",119,83
2025-07-13,"15:15","Round 18"," Marvel Stadium","St Kilda","Sydney",87,92
2025-07-13,"16:10","Round 18"," Adelaide Oval","Port Adelaide","West Coast",87,61
2025-07-17,"19:30","Round 19"," Marvel Stadium","Essendon","GWS",56,104
2025-07-18,"19:40","Round 19"," Gabba","Brisbane","Western Bulldogs",86,76
2025-07-19,"13:20","Round 19"," UTAS Stadium","Hawthorn","Port Adelaide",87,49
2025-07-19,"16:15","Round 19"," SCG","Sydney","North Melbourne",84,53
2025-07-19,"18:10","Round 19"," Optus Stadium","West Coast","Richmond",56,105
2025-07-19,"19:35","Round 19"," MCG","Carlton","Melbourne",78,70
2025-07-20,"13:10","Round 19"," GMHBA Stadium","Geelong","St Kilda",113,82
2025-07-20,"15:15","Round 19"," MCG","Collingwood","Fremantle",78,79
2025-07-20,"16:10","Round 19"," Adelaide Oval","Adelaide","Gold Coast",107,46
2025-07-24,"19:30","Round 20"," MCG","Hawthorn","Carlton",85,61
2025-07-25,"19:20","Round 20"," Marvel Stadium","Essendon","Western Bulldogs",50,143
2025-07-25,"19:50","Round 20"," ENGIE Stadium","GWS","Sydney",102,58
2025-07-26,"13:20","Round 20"," People First Stadium","Gold Coast","Brisbane",130,64
2025-07-26,"14:15","Round 20"," Optus Stadium","Fremantle","West Coast",126,77
2025-07-26,"19:35","Round 20"," Marvel Stadium","North Melbourne","Geelong",49,150
2025-07-26,"19:40","Round 20"," Adelaide Oval","Adelaide","Port Adelaide",133,35
