"Date","Time","Round","Venue","Home.Team","Away.Team","Home.Points","Away.Points"
2025-03-07,"19:40","Round 0"," SCG","Sydney","Hawthorn",76,96
2025-03-09,"15:20","Round 0"," ENGIE Stadium","GWS","Collingwood",104,52
2025-03-13,"19:30","Round 1"," MCG","Richmond","Carlton",82,69
2025-03-14,"19:40","Round 1"," MCG","Hawthorn","Essendon",111,85
2025-03-15,"13:20","Round 1"," GMHBA Stadium","Geelong","Fremantle",147,69
2025-03-15,"16:15","Round 1"," SCG","Sydney","Brisbane",82,86
2025-03-15,"19:35","Round 1"," MCG","Collingwood","Port Adelaide",136,45
2025-03-15,"19:35","Round 1"," Marvel Stadium","Western Bulldogs","North Melbourne",113,97
2025-03-16,"12:05","Round 1"," Adelaide Oval","Adelaide","St Kilda",135,72
2025-03-16,"15:10","Round 1"," Optus Stadium","West Coast","Gold Coast",49,136
2025-03-16,"15:20","Round 1"," MCG","Melbourne","GWS",74,77
2025-03-20,"19:30","Round 2"," MCG","Carlton","Hawthorn",60,80
2025-03-21,"19:40","Round 2"," MCG","Western Bulldogs","Collingwood",70,76
2025-03-22,"13:20","Round 2"," MCG","Essendon","Adelaide",100,161
2025-03-22,"15:45","Round 2"," Adelaide Oval","Port Adelaide","Richmond",140,68
2025-03-22,"19:35","Round 2"," Marvel Stadium","St Kilda","Geelong",98,91
2025-03-23,"12:10","Round 2"," Gabba","Brisbane","West Coast",94,75
2025-03-23,"15:10","Round 2"," Optus Stadium","Fremantle","Sydney",65,68
2025-03-23,"15:20","Round 2"," Marvel Stadium","North Melbourne","Melbourne",125,66
2025-03-27,"19:30","Round 3"," Marvel Stadium","Essendon","Port Adelaide",72,60
2025-03-28,"19:40","Round 3"," Marvel Stadium","Carlton","Western Bulldogs",75,83
2025-03-29,"13:20","Round 3"," MCG","Melbourne","Gold Coast",62,120
2025-03-29,"16:15","Round 3"," Marvel Stadium","St Kilda","Richmond",135,53
2025-03-29,"18:35","Round 3"," Gabba","Brisbane","Geelong",70,61
2025-03-29,"19:35","Round 3"," UTAS Stadium","Hawthorn","GWS",76,64
2025-03-30,"14:50","Round 3"," Adelaide Oval","Adelaide","North Melbourne",114,78
2025-03-30,"15:10","Round 3"," Optus Stadium","West Coast","Fremantle",68,106
