"Date","Time","Round","Venue","Home.Team","Away.Team","Home.Points","Away.Points"
2023-03-16,"19:20","Round 1"," MCG","Richmond","Carlton",58,58
2023-03-17,"19:40","Round 1"," MCG","Geelong","Collingwood",103,125
2023-03-18,"13:45","Round 1"," Marvel Stadium","North Melbourne","West Coast",87,82
2023-03-18,"16:05","Round 1"," Adelaide Oval","Port Adelaide","Brisbane",126,72
2023-03-18,"19:00","Round 1"," People First Stadium","Gold Coast","Sydney",61,110
2023-03-18,"19:25","Round 1"," MCG","Melbourne","Western Bulldogs",115,65
2023-03-19,"13:10","Round 1"," ENGIE Stadium","GWS","Adelaide",106,90
2023-03-19,"15:20","Round 1"," MCG","Hawthorn","Essendon",65,124
2023-03-19,"16:40","Round 1"," Marvel Stadium","St Kilda","Fremantle",67,52
2023-03-23,"19:20","Round 2"," MCG","Carlton","Geelong",90,82
2023-03-24,"18:55","Round 2"," Gabba","Brisbane","Melbourne",93,82
2023-03-25,"13:45","Round 2"," MCG","Collingwood","Port Adelaide",135,64
2023-03-25,"16:05","Round 2"," Adelaide Oval","Adelaide","Richmond",76,108
2023-03-25,"16:30","Round 2"," Optus Stadium","Fremantle","North Melbourne",72,73
2023-03-25,"19:25","Round 2"," Marvel Stadium","Western Bulldogs","St Kilda",41,92
2023-03-26,"13:10","Round 2"," SCG","Sydney","Hawthorn",118,37
2023-03-26,"15:20","Round 2"," Optus Stadium","West Coast","GWS",100,81
2023-03-26,"15:20","Round 2"," Marvel Stadium","Essendon","Gold Coast",108,80
2023-03-30,"19:20","Round 3"," Marvel Stadium","Western Bulldogs","Brisbane",67,53
2023-03-31,"19:50","Round 3"," MCG","Collingwood","Richmond",63,49
2023-04-01,"13:45","Round 3"," UTAS Stadium","Hawthorn","North Melbourne",80,61
2023-04-01,"16:35","Round 3"," ENGIE Stadium","GWS","Carlton",64,74
2023-04-01,"19:00","Round 3"," Adelaide Oval","Port Adelaide","Adelaide",86,117
2023-04-01,"19:25","Round 3"," MCG","St Kilda","Essendon",92,74
2023-04-02,"14:10","Round 3"," People First Stadium","Gold Coast","Geelong",73,54
2023-04-02,"15:20","Round 3"," Optus Stadium","Fremantle","West Coast",108,67
2023-04-02,"15:20","Round 3"," MCG","Melbourne","Sydney",134,84
2023-04-06,"19:35","Round 4"," Gabba","Brisbane","Collingwood",116,83
2023-04-07,"16:20","Round 4"," Marvel Stadium","North Melbourne","Carlton",84,107
2023-04-08,"13:15","Round 4"," Adelaide Oval","Adelaide","Fremantle",111,72
2023-04-08,"16:35","Round 4"," MCG","Richmond","Western Bulldogs",84,89
2023-04-08,"19:30","Round 4"," Marvel Stadium","St Kilda","Gold Coast",113,60
2023-04-08,"19:30","Round 4"," SCG","Sydney","Port Adelaide",64,66
2023-04-09,"14:10","Round 4"," Marvel Stadium","Essendon","GWS",88,75
2023-04-09,"15:20","Round 4"," Optus Stadium","West Coast","Melbourne",63,126
2023-04-10,"15:20","Round 4"," MCG","Geelong","Hawthorn",127,45
2023-04-13,"19:10","Round 5"," Adelaide Oval","Adelaide","Carlton",118,62
2023-04-14,"16:40","Round 5"," Norwood Oval","Fremantle","Gold Coast",100,90
2023-04-14,"19:40","Round 5"," Adelaide Oval","Richmond","Sydney",78,122
2023-04-15,"12:40","Round 5"," Adelaide Hills","Brisbane","North Melbourne",152,77
2023-04-15,"15:40","Round 5"," Adelaide Oval","Essendon","Melbourne",104,77
2023-04-15,"19:20","Round 5"," Adelaide Oval","Port Adelaide","Western Bulldogs",70,56
2023-04-16,"12:40","Round 5"," Adelaide Oval","Geelong","West Coast",136,89
2023-04-16,"14:50","Round 5"," Norwood Oval","GWS","Hawthorn",77,75
2023-04-16,"16:20","Round 5"," Adelaide Oval","Collingwood","St Kilda",70,64
2023-04-21,"18:10","Round 6"," Optus Stadium","Fremantle","Western Bulldogs",69,118
2023-04-22,"13:15","Round 6"," Adelaide Oval","Port Adelaide","West Coast",109,69
2023-04-22,"16:35","Round 6"," Manuka Oval","GWS","Brisbane",87,108
2023-04-22,"19:25","Round 6"," GMHBA Stadium","Geelong","Sydney",130,37
2023-04-23,"13:10","Round 6"," UTAS Stadium","Hawthorn","Adelaide",76,79
2023-04-23,"15:20","Round 6"," Marvel Stadium","Carlton","St Kilda",60,82
2023-04-23,"16:40","Round 6"," People First Stadium","Gold Coast","North Melbourne",97,54
2023-04-24,"19:25","Round 6"," MCG","Melbourne","Richmond",96,78
2023-04-25,"15:20","Round 6"," MCG","Collingwood","Essendon",90,77
2023-04-28,"19:50","Round 7"," Marvel Stadium","St Kilda","Port Adelaide",76,83
2023-04-29,"13:45","Round 7"," Gabba","Brisbane","Fremantle",115,67
2023-04-29,"14:10","Round 7"," SCG","Sydney","GWS",106,107
2023-04-29,"16:35","Round 7"," Marvel Stadium","Western Bulldogs","Hawthorn",94,65
2023-04-29,"17:30","Round 7"," Optus Stadium","West Coast","Carlton",44,152
2023-04-29,"19:25","Round 7"," MCG","Melbourne","North Melbourne",139,49
2023-04-30,"13:10","Round 7"," MCG","Essendon","Geelong",104,132
2023-04-30,"15:20","Round 7"," Marvel Stadium","Richmond","Gold Coast",48,72
2023-04-30,"16:10","Round 7"," Adelaide Oval","Adelaide","Collingwood",58,59
2023-05-05,"19:50","Round 8"," Marvel Stadium","Carlton","Brisbane",74,100
2023-05-06,"13:45","Round 8"," MCG","Richmond","West Coast",104,58
2023-05-06,"14:10","Round 8"," GMHBA Stadium","Geelong","Adelaide",98,72
2023-05-06,"16:35","Round 8"," People First Stadium","Gold Coast","Melbourne",85,90
