"Date","Season","Round","Venue","Player","Team","Opposition","Status","Match_id","GA","CP","UP","ED","DE","CM","MI5","One.Percenters","BO","TOG","K","HB","D","M","G","B","T","HO","I50","CL","CG","R50","FF","FA","AF","SC","CCL","SCL","SI","MG","TO","ITC","T5"
2017-03-23,2017,"Round 1","MCG","Marc Murphy","Carlton","Richmond","Home",9307,2,18,18,23,65.7,0,0,0,1,76,21,14,35,6,0,0,7,0,6,7,4,3,2,0,139,138,3,4,6,503,8,3,0
2017-03-23,2017,"Round 1","MCG","Kade Simpson","Carlton","Richmond","Home",9307,0,12,20,23,69.7,0,0,1,1,92,22,11,33,7,0,0,3,0,3,4,4,6,5,0,126,107,1,3,6,594,6,8,0
2017-03-23,2017,"Round 1","MCG","Bryce Gibbs","Carlton","Richmond","Home",9307,1,15,10,18,69.2,0,2,1,0,79,14,12,26,4,1,1,6,0,4,7,4,3,2,2,105,104,3,4,5,435,4,3,1
2017-03-23,2017,"Round 1","MCG","Sam Docherty","Carlton","Richmond","Home",9307,0,5,15,19,79.2,0,0,1,2,88,18,6,24,6,0,0,1,0,4,0,4,6,2,0,90,91,0,0,5,598,7,6,0
2017-03-23,2017,"Round 1","MCG","Lachlan Plowman","Carlton","Richmond","Home",9307,0,5,15,19,95,2,0,12,0,92,12,8,20,10,0,0,1,0,0,0,0,2,1,0,87,103,0,0,3,238,1,6,0
2017-03-23,2017,"Round 1","MCG","Edward Curnow","Carlton","Richmond","Home",9307,0,5,11,14,73.7,0,0,0,2,86,13,6,19,5,0,0,4,0,3,5,4,0,1,2,77,54,5,0,5,313,6,3,0
2017-03-23,2017,"Round 1","MCG","Patrick Cripps","Carlton","Richmond","Home",9307,0,5,14,12,63.2,0,0,0,0,84,10,9,19,3,0,0,5,0,5,3,3,1,0,0,77,50,3,0,0,279,9,1,0
2017-03-23,2017,"Round 1","MCG","Caleb Marchbank","Carlton","Richmond","Home",9307,0,10,9,15,78.9,3,0,5,0,88,15,4,19,8,0,0,2,0,1,0,5,6,2,3,78,97,0,0,1,274,6,13,0
2017-03-23,2017,"Round 1","MCG","Dale Thomas","Carlton","Richmond","Home",9307,1,2,15,13,76.5,1,0,0,0,76,12,5,17,6,1,0,1,0,5,0,4,0,0,1,71,51,0,0,4,356,5,2,0
2017-03-23,2017,"Round 1","MCG","Billie Smedts","Carlton","Richmond","Home",9307,0,5,11,15,88.2,1,0,0,0,70,8,9,17,5,0,0,1,0,1,3,1,1,0,0,61,55,0,3,3,161,2,2,0
2017-03-23,2017,"Round 1","MCG","Matthew Kreuzer","Carlton","Richmond","Home",9307,1,8,8,6,40,1,2,3,0,84,11,4,15,4,2,0,4,39,2,4,3,1,0,0,120,121,2,2,3,255,3,0,1
2017-03-23,2017,"Round 1","MCG","Matthew Wright","Carlton","Richmond","Home",9307,0,7,7,12,85.7,1,1,0,0,86,7,7,14,4,3,0,5,0,0,1,0,0,2,0,87,94,0,1,8,152,1,1,4
2017-03-23,2017,"Round 1","MCG","Sam Rowe","Carlton","Richmond","Home",9307,0,7,5,10,83.3,0,0,15,0,100,6,6,12,1,0,0,1,0,0,0,2,2,2,1,36,72,0,0,1,172,2,8,0
2017-03-23,2017,"Round 1","MCG","Jack Silvagni","Carlton","Richmond","Home",9307,1,4,8,8,72.7,0,4,0,0,79,8,3,11,5,2,2,1,0,3,0,2,0,1,0,64,58,0,0,7,255,2,0,1
2017-03-23,2017,"Round 1","MCG","Sam P-Seton","Carlton","Richmond","Home",9307,0,8,3,6,54.5,0,0,1,0,71,7,4,11,2,0,0,7,0,2,3,0,3,2,0,65,59,1,2,2,126,2,3,1
2017-03-23,2017,"Round 1","MCG","Levi Casboult","Carlton","Richmond","Home",9307,0,7,3,7,70,3,2,1,0,81,5,5,10,4,1,1,2,11,2,1,3,0,1,1,61,54,1,0,2,112,3,2,2
2017-03-23,2017,"Round 1","MCG","Simon White","Carlton","Richmond","Home",9307,0,3,6,7,70,0,0,8,0,85,7,3,10,3,0,0,3,0,0,0,2,3,1,0,49,49,0,0,1,160,4,4,0
2017-03-23,2017,"Round 1","MCG","Jacob Weitering","Carlton","Richmond","Home",9307,1,5,7,9,90,1,3,2,0,76,6,4,10,7,3,0,0,0,2,0,1,0,0,0,65,75,0,0,6,149,2,0,0
2017-03-23,2017,"Round 1","MCG","Charlie Curnow","Carlton","Richmond","Home",9307,0,2,6,6,75,0,0,1,0,76,7,1,8,4,0,0,5,0,4,0,3,0,0,1,52,41,0,0,1,213,5,0,1
2017-03-23,2017,"Round 1","MCG","Dennis Armfield","Carlton","Richmond","Home",9307,0,2,5,5,83.3,0,0,0,0,82,1,5,6,2,1,0,1,0,0,0,2,0,0,1,26,29,0,0,1,32,1,0,1
2017-03-23,2017,"Round 1","MCG","Harrison Macreadie","Carlton","Richmond","Home",9307,0,3,4,6,100,0,0,2,0,81,3,3,6,1,0,0,4,0,0,0,1,1,1,0,35,36,0,0,2,43,1,3,0
2017-03-23,2017,"Round 1","MCG","Jarrod Pickett","Carlton","Richmond","Home",9307,1,2,3,3,60,1,1,2,2,68,2,3,5,2,0,0,3,0,1,0,0,0,0,0,30,28,0,0,2,114,0,0,0
2017-03-23,2017,"Round 1","MCG","Dustin Martin","Richmond","Carlton","Away",9307,4,13,21,24,72.7,1,1,1,0,89,23,10,33,5,4,0,4,0,6,6,5,4,1,2,139,159,5,1,13,801,5,2,2
2017-03-23,2017,"Round 1","MCG","Dion Prestia","Richmond","Carlton","Away",9307,1,8,18,23,82.1,0,0,1,0,77,15,13,28,2,1,0,5,0,3,6,2,3,0,0,103,115,2,4,5,386,4,4,0
2017-03-23,2017,"Round 1","MCG","Shaun Grigg","Richmond","Carlton","Away",9307,2,8,19,21,77.8,0,0,3,0,85,16,11,27,4,1,0,6,0,8,4,3,0,2,1,111,113,2,2,7,448,5,5,0
2017-03-23,2017,"Round 1","MCG","Trent Cotchin","Richmond","Carlton","Away",9307,0,12,10,17,81,0,1,2,0,79,11,10,21,3,1,0,8,0,5,8,3,2,1,1,98,113,3,5,5,410,4,2,2
2017-03-23,2017,"Round 1","MCG","Brandon Ellis","Richmond","Carlton","Away",9307,0,5,15,20,95.2,0,0,1,0,89,11,10,21,0,0,0,1,0,3,1,2,4,0,2,51,76,0,1,5,448,1,4,0
2017-03-23,2017,"Round 1","MCG","Jason Castagna","Richmond","Carlton","Away",9307,1,10,13,11,55,0,3,0,0,83,12,8,20,3,2,4,4,0,5,2,4,1,2,3,86,96,1,1,10,305,7,3,2
2017-03-23,2017,"Round 1","MCG","Reece Conca","Richmond","Carlton","Away",9307,0,4,14,13,68.4,0,0,2,0,81,13,6,19,4,0,1,5,0,3,0,3,2,0,0,84,71,0,0,4,441,2,5,0
2017-03-23,2017,"Round 1","MCG","Daniel Butler","Richmond","Carlton","Away",9307,1,5,11,13,68.4,0,0,0,0,86,12,7,19,1,2,1,3,0,5,1,2,0,0,2,72,96,0,1,9,284,2,3,2
