Date,Time,Round,Venue,Home.Team,Away.Team,Home.Points,Away.Points,AwayWin,HomeWin,Draw,Season,Match_id
2015-05-23,14:10,8, ENGIE Stadium,GWS,Adelaide,108,84,0,1,0,2015,6029
2015-05-23,16:35,8, People First Stadium,Gold Coast,Collingwood,63,132,1,0,0,2015,6030
2015-05-23,17:40,8, Domain Stadium,Fremantle,North Melbourne,115,42,0,1,0,2015,6032
2015-05-23,19:20,8, MCG,Hawthorn,Sydney,69,73,1,0,0,2015,6031
2015-05-24,13:10,8, Marvel Stadium,Essendon,Brisbane,136,78,0,1,0,2015,6033
2015-05-24,15:20,8, MCG,Melbourne,Western Bulldogs,103,64,0,1,0,2015,6034
2015-05-24,16:10,8, Adelaide Oval,Port Adelaide,Richmond,43,76,1,0,0,2015,6035
2015-05-29,19:50,9, SCG,Sydney,Carlton,122,62,0,1,0,2015,6036
2015-05-30,13:40,9, TIO Traeger Park,Melbourne,Port Adelaide,54,115,1,0,0,2015,6038
2015-05-30,13:45,9, UTAS Stadium,Hawthorn,Gold Coast,93,40,0,1,0,2015,6037
2015-05-30,16:35,9, Marvel Stadium,Western Bulldogs,GWS,113,68,0,1,0,2015,6039
2015-05-30,19:10,9, Adelaide Oval,Adelaide,Fremantle,57,68,1,0,0,2015,6041
2015-05-30,19:20,9, MCG,Richmond,Essendon,72,59,0,1,0,2015,6040
2015-05-31,13:10,9, Gabba,Brisbane,St Kilda,86,108,1,0,0,2015,6042
2015-05-31,14:40,9, Domain Stadium,West Coast,Geelong,120,64,0,1,0,2015,6044
2015-05-31,15:20,9, MCG,Collingwood,North Melbourne,112,95,0,1,0,2015,6043
2015-06-05,18:10,10, Domain Stadium,Fremantle,Richmond,70,97,1,0,0,2015,6045
2015-06-06,13:40,10, MCG,Carlton,Adelaide,90,99,1,0,0,2015,6046
2015-06-06,16:35,10, People First Stadium,Gold Coast,Sydney,41,93,1,0,0,2015,6047
2015-06-06,19:10,10, Adelaide Oval,Port Adelaide,Western Bulldogs,100,62,0,1,0,2015,6049
2015-06-06,19:20,10, Marvel Stadium,Essendon,Geelong,53,122,1,0,0,2015,6048
2015-06-07,13:10,10, ENGIE Stadium,GWS,Brisbane,97,67,0,1,0,2015,6050
2015-06-07,15:20,10, Ninja Stadium,North Melbourne,West Coast,85,75,0,1,0,2015,6051
2015-06-07,16:40,10, Marvel Stadium,St Kilda,Hawthorn,69,132,1,0,0,2015,6052
2015-06-08,15:20,10, MCG,Melbourne,Collingwood,85,110,1,0,0,2015,6053
2015-06-12,19:20,11, Adelaide Oval,Port Adelaide,Geelong,69,92,1,0,0,2015,6054
2015-06-13,13:40,11, People First Stadium,Gold Coast,Fremantle,46,53,1,0,0,2015,6055
2015-06-13,14:35,11, Domain Stadium,West Coast,Essendon,96,46,0,1,0,2015,6056
2015-06-13,19:20,11, Marvel Stadium,North Melbourne,Sydney,75,91,1,0,0,2015,6057
2015-06-14,13:10,11, MCG,Collingwood,GWS,119,77,0,1,0,2015,6058
2015-06-14,16:40,11, Marvel Stadium,St Kilda,Melbourne,85,83,0,1,0,2015,6059
2015-06-18,19:20,12, Adelaide Oval,Adelaide,Hawthorn,85,114,1,0,0,2015,6060
2015-06-19,19:50,12, MCG,Richmond,West Coast,70,90,1,0,0,2015,6061
2015-06-20,13:40,12, MCG,Carlton,Port Adelaide,110,106,0,1,0,2015,6062
2015-06-20,16:35,12, ENGIE Stadium,GWS,North Melbourne,61,117,1,0,0,2015,6063
2015-06-20,19:20,12, Marvel Stadium,Western Bulldogs,Brisbane,146,74,0,1,0,2015,6064
